218,91927.585,90933.434,81723.133,79673.857,84966.467,133076.848,160754.322,215223.034,230495.616,203375.264,151726.765,92641.195,40832.260,17549.507,8908.288,5135.774,6411.118,4720.819,5145.398,4106.770,4305.522,2658.761,3807.184,3502.090,2742.645,1622.428,2086.407,1998.053,1685.585,2320.943,1978.430,2330.380,2874.139,1373.486,1847.889,1340.617,1806.868,1401.774,1244.978,1308.189,1058.315,1306.517,1650.023,1453.348,836.853,1408.162,1105.222,1020.893,1555.777,1340.002,773.800,1194.366,781.017,924.868,1176.868,1051.430,873.868,994.448,672.037,895.802,786.699,978.001,728.014,686.108,820.751,525.066,885.717,622.321,635.020,546.777,835.699,661.234,664.953,566.577,764.467,560.495,593.042,647.562,408.380,526.963,504.851,585.697,603.725,535.072,542.495,660.185,469.498,565.724,637.948,553.647,551.122,469.088,528.718,396.860,488.194,433.120,450.198,643.864,534.760,511.781,718.758,656.563,751.796,664.394,610.850,491.844,531.725,467.777,478.365,461.292,716.295,827.890,1015.479,1294.124,1500.991,1893.916,2170.713,2074.808,2141.408,2043.217,1857.481,1638.177,1165.175,957.562,613.549,522.911,451.367,288.760,308.351,256.809,340.413,377.929,269.215,278.890,309.429,246.753,295.171,258.653,288.724,283.460,283.452,263.569,293.743,286.712,302.214,213.354,297.979,285.227,269.846,326.395,329.205,
220,90730.356,91882.948,79182.972,65079.350,69801.665,94665.580,115854.382,181261.391,240523.324,262153.210,226517.837,170126.055,90661.506,40638.039,16906.590,9090.145,5384.594,3630.769,5346.606,4093.039,2700.204,3122.341,2764.320,2807.831,1766.531,2465.541,3167.406,2394.915,2195.220,2542.794,1874.566,2065.357,1784.030,1413.318,1659.461,1760.498,1499.873,1372.244,1625.484,1229.204,1390.330,1204.215,1563.877,1615.251,1360.993,1249.734,1192.297,1207.014,867.457,1106.500,1071.784,1085.300,877.461,1123.056,1077.316,810.106,939.487,987.250,914.714,809.749,944.249,593.989,672.260,414.898,635.368,800.149,788.340,702.032,572.141,707.309,704.371,534.262,561.628,599.775,511.326,503.123,508.606,544.366,619.246,440.227,527.257,532.838,498.904,461.471,564.911,517.781,593.628,499.490,518.343,508.342,581.251,567.811,502.032,495.074,547.711,526.617,574.979,362.527,491.668,488.970,572.987,574.115,598.146,611.831,676.643,601.338,719.938,505.525,481.507,507.054,515.413,529.372,623.957,829.302,1088.178,1471.087,1712.805,2144.517,2370.759,2564.281,2559.453,2390.008,2261.871,1860.205,1329.126,935.541,814.903,523.234,368.625,344.697,307.810,295.919,270.398,284.401,270.864,327.999,293.112,344.406,253.763,247.507,283.318,257.278,284.961,273.311,279.796,255.437,259.167,323.711,278.200,232.330,320.741,
222,88585.307,85027.013,98947.363,61462.125,69610.229,64067.177,87684.487,118256.386,204715.405,267475.117,276552.813,245960.122,162487.302,96461.060,40711.520,16381.821,8156.286,4281.846,3901.665,4126.550,3564.418,3531.006,2257.585,2636.720,2366.368,2755.625,2529.942,2531.037,2113.951,2504.654,2370.721,2179.890,1897.064,1979.376,2369.366,1790.039,1822.599,1910.591,1500.905,1621.329,1768.972,991.677,1295.388,1202.627,1239.500,1223.465,1362.191,982.468,1125.037,1067.645,1198.968,893.140,992.903,975.492,969.822,798.952,765.298,730.061,1019.323,979.807,931.945,866.181,753.363,587.786,831.663,698.817,619.651,674.391,690.657,560.203,577.993,480.240,669.707,706.734,702.469,502.421,419.747,637.725,533.208,605.092,699.475,481.774,640.497,604.228,531.618,477.939,356.534,468.042,547.123,572.394,429.350,502.786,498.672,532.413,527.494,488.805,543.925,439.867,391.268,545.390,485.075,503.041,407.307,629.922,718.386,663.515,680.666,617.827,601.866,588.582,567.820,366.399,443.580,413.256,604.576,963.452,1145.097,1658.839,2094.282,2497.351,2621.064,3138.724,3119.437,2885.447,2393.510,1944.707,1675.210,1183.245,788.007,638.794,455.862,298.138,276.996,300.044,275.697,254.634,284.433,268.989,282.480,287.339,297.006,256.350,270.878,271.539,276.382,295.141,266.661,254.756,286.984,337.872,276.443,
224,87587.718,100924.201,84548.229,85173.922,65249.788,55584.442,63190.091,82246.260,149801.402,202637.232,279006.820,314766.654,245951.071,162566.518,87319.498,43773.320,15691.863,6330.324,6029.187,3202.587,4742.106,3142.391,2661.731,2767.233,2841.201,2431.854,2326.269,1934.552,2205.996,1536.621,1939.279,1833.924,2087.178,1976.812,2078.847,1546.480,1602.408,1847.111,1959.683,1429.134,1168.040,1599.697,986.070,1090.483,1517.799,1340.384,1335.297,1439.047,831.623,1214.780,1247.999,896.003,1170.444,556.448,914.253,758.898,881.828,878.665,793.401,865.047,758.214,968.087,910.503,766.088,623.191,733.444,752.221,746.131,935.143,572.403,714.805,677.674,455.906,791.623,483.142,576.225,593.426,613.092,422.265,453.849,508.286,330.266,518.274,567.359,486.044,605.239,545.161,535.602,541.342,447.213,529.848,515.413,484.033,632.841,580.643,513.695,490.328,470.806,415.030,488.849,443.632,643.886,380.923,500.836,671.550,678.646,719.225,659.305,692.703,620.891,588.461,602.562,437.986,422.224,424.214,558.124,745.798,885.055,1440.738,1887.496,2365.402,2855.252,3158.656,3394.195,3530.439,3191.054,2922.473,2405.641,1787.967,1322.060,1032.486,474.114,329.066,273.313,274.870,234.659,287.147,293.583,280.326,318.967,271.881,279.492,230.851,233.188,270.560,305.613,267.836,274.646,228.885,355.153,313.006,
226,55173.655,59814.511,96415.137,94084.674,74187.778,63557.184,63233.856,56421.651,83449.021,142865.912,215014.841,309874.390,303762.020,260325.275,180343.077,105744.148,45194.889,17414.899,7587.636,4092.022,3921.143,2494.697,3454.492,3476.064,2264.725,2105.651,2285.163,2508.669,2025.200,1653.107,1275.406,2018.504,1925.825,2399.985,2190.033,1412.202,958.402,1547.128,1410.597,1589.921,1397.124,1517.725,1568.565,1119.701,1018.662,1142.833,939.236,1131.835,910.019,1140.164,1058.795,1148.869,1102.171,964.565,1148.045,706.183,1059.587,782.503,483.951,909.745,785.349,941.074,649.824,717.467,571.584,713.745,749.088,663.576,727.646,838.292,624.957,533.977,505.889,766.845,458.306,714.686,662.078,577.686,447.981,616.619,462.512,597.627,547.807,449.307,639.292,671.814,670.533,473.564,562.817,558.400,420.304,402.765,559.759,472.383,458.186,362.334,362.052,558.977,504.033,369.382,464.074,412.001,501.683,528.579,534.837,563.948,536.373,665.298,584.458,675.482,667.595,608.375,599.720,504.984,439.144,406.344,398.473,592.671,824.435,1007.336,1369.403,2001.477,2711.762,3334.975,3705.002,4035.585,4291.489,4219.602,3445.036,2954.457,2230.912,1366.332,840.413,514.896,359.548,276.996,278.864,282.051,265.143,352.100,292.332,330.099,346.992,226.778,230.188,292.131,258.913,279.455,324.526,298.636,311.377,
228,32531.070,67513.222,77597.130,68616.527,69656.072,76130.839,53378.409,51707.724,58014.665,87467.882,163527.914,253461.655,313349.521,326676.106,274896.666,197137.038,106829.924,44748.476,18584.950,6400.333,4038.413,2717.250,3837.090,3232.659,2318.484,1903.734,2673.219,2051.173,1667.116,2034.196,1506.284,2214.214,1862.711,874.846,2093.608,1403.369,1849.592,1554.624,1717.212,1488.358,1254.108,1217.711,1880.174,1595.663,1337.024,1171.384,1241.395,1004.022,990.569,1530.194,1133.701,937.596,935.433,955.672,981.087,1043.064,893.215,982.553,812.161,832.856,792.379,555.251,564.039,702.019,900.892,669.460,704.418,631.168,705.728,677.690,882.983,581.678,735.225,557.334,597.118,581.990,578.514,478.074,657.090,671.306,487.259,500.798,575.884,574.459,578.235,620.170,417.742,551.660,532.684,514.732,498.743,494.937,478.832,501.572,512.360,408.149,426.813,524.022,421.549,443.042,458.107,414.619,388.964,467.026,434.648,467.996,499.386,554.993,632.587,634.522,751.395,648.472,899.076,717.496,569.278,554.746,490.672,389.545,490.031,595.522,776.111,1161.360,1691.200,2295.288,2886.609,3888.271,4341.405,4667.432,4719.547,4665.728,4143.482,3040.532,1975.901,1359.936,958.444,574.872,375.320,325.308,288.057,327.519,300.824,278.198,310.389,286.693,250.298,260.375,311.215,297.124,321.066,314.683,314.334,
230,75444.162,64578.950,52691.369,82539.683,66446.195,71564.983,63154.221,63013.777,46394.720,51050.049,85586.169,171523.990,244472.873,319759.476,344623.127,301257.395,211200.858,109255.373,54057.790,18715.135,5369.911,3807.611,2751.951,3207.960,3001.144,3017.404,2220.477,2068.850,2256.155,2130.316,2019.194,1672.689,1846.611,1555.610,1514.255,1934.510,1785.180,1766.836,1099.378,1322.056,1689.993,1553.870,1429.676,1299.506,1344.002,1271.924,1044.144,1439.203,1325.312,1311.310,1362.129,905.792,903.188,909.173,1051.494,906.075,793.982,964.236,861.718,1064.025,819.364,821.145,712.387,945.212,855.724,762.667,759.746,666.792,690.015,768.535,808.241,596.377,714.554,680.664,770.975,297.752,521.069,562.770,640.863,521.245,524.849,614.909,606.623,518.944,457.543,493.177,587.361,608.522,591.584,489.419,530.967,449.117,442.962,580.366,555.454,494.351,495.487,495.930,513.208,370.638,449.883,385.512,365.332,392.440,364.364,374.679,431.188,554.546,486.703,524.674,696.102,764.846,849.848,916.631,741.388,682.343,533.928,528.033,404.684,400.758,379.712,493.349,774.100,1180.605,1900.494,2794.237,3522.897,4304.327,5223.742,5481.877,5655.405,4841.952,4055.029,3285.666,2263.722,1707.228,1069.173,649.347,375.172,342.885,325.978,273.678,278.337,331.489,258.663,271.418,260.003,322.830,261.002,238.517,293.382,
232,78953.060,57929.454,49931.697,39582.131,60266.296,76981.620,74084.474,69103.061,67170.466,45304.188,44084.751,91489.151,161167.487,264089.997,344503.711,362697.939,319478.816,219008.509,126824.856,50840.133,18368.790,7485.585,3121.023,2545.271,3065.080,2991.047,2995.815,2403.854,1914.398,1873.939,2240.462,1537.684,2246.527,1609.144,2019.579,1702.794,1565.778,1469.050,1507.687,1240.166,1313.320,1129.396,863.309,1411.442,1344.191,1030.333,1389.626,1236.375,913.561,1140.369,1162.057,1038.438,1006.427,821.380,890.408,1003.187,658.441,811.710,1171.232,945.097,787.005,908.902,774.649,573.022,637.585,771.101,614.294,557.482,776.826,608.322,496.366,657.817,562.419,546.224,636.919,652.968,574.441,644.085,601.998,596.464,505.481,456.237,521.973,625.180,512.743,438.901,408.946,452.748,476.827,438.182,543.364,571.807,509.608,541.457,556.512,488.410,513.733,444.630,428.209,517.267,387.559,501.411,408.751,443.456,463.138,418.973,427.355,332.602,442.766,521.912,525.779,555.895,600.870,788.043,784.788,764.011,795.812,627.235,511.990,475.613,405.391,436.654,489.499,568.665,925.223,1449.244,2070.582,2944.845,4120.821,5213.649,5946.604,5747.962,5864.057,5157.691,4446.457,3744.661,2802.641,1939.857,1230.290,695.620,455.754,366.007,230.854,252.594,287.629,287.724,355.502,297.013,254.799,330.495,291.474,
234,73285.742,58969.826,37692.217,54443.826,49202.178,62537.191,62523.704,79807.758,67238.508,61821.168,39115.139,47594.989,86683.220,169469.302,286575.338,370089.146,389862.349,332888.335,229207.987,123098.481,49812.290,20764.743,6595.507,3672.178,2779.419,2631.719,1997.619,2447.052,2584.266,1852.266,1928.804,1957.426,2192.998,1977.266,1718.270,1792.401,1609.906,1560.635,1612.853,1609.468,908.851,1473.308,803.176,1341.932,1081.200,1411.022,1554.795,1047.313,1036.744,1027.505,1120.826,1161.276,956.845,860.902,1117.769,923.960,910.027,758.158,647.382,761.286,812.719,915.706,643.123,769.136,772.742,710.301,791.453,470.819,771.413,561.676,445.018,653.704,599.181,495.762,463.733,664.496,646.745,534.654,419.546,454.654,515.677,644.044,539.805,558.150,396.453,498.639,503.437,396.568,571.999,484.437,379.878,531.205,473.291,479.511,385.221,492.060,402.465,449.985,477.419,509.825,354.087,498.340,358.000,476.273,359.719,394.628,367.633,311.394,346.592,362.709,433.537,517.616,501.808,676.449,689.170,809.987,824.262,792.888,740.765,597.469,559.686,466.329,440.877,383.028,438.495,587.229,926.485,1776.680,2408.475,3593.265,4674.781,5485.828,6010.664,6217.945,6102.593,6010.744,5300.494,4356.574,3216.930,2059.950,1201.402,673.870,395.995,285.582,240.615,299.789,317.186,272.832,256.875,328.287,339.788,
236,49887.355,50195.441,47955.647,55757.671,38763.732,49931.623,57913.271,76235.299,73964.983,65254.737,50539.732,39899.024,48031.598,86357.614,182669.393,281911.441,385707.320,400204.250,366963.654,255560.003,139825.826,66954.888,21340.059,7419.783,2687.534,2092.660,1879.201,2360.254,1341.059,2037.451,2232.380,2666.948,2212.899,1901.385,1781.130,1577.707,1603.717,1317.544,1548.210,1562.503,1098.938,1429.570,1538.539,1592.740,1408.615,1266.469,1147.295,1189.641,1090.123,923.942,822.141,1034.129,1325.106,719.566,848.562,659.458,1067.951,860.686,743.765,865.894,684.811,664.594,875.612,938.869,727.292,572.318,726.653,625.396,835.185,477.797,657.391,656.601,419.336,531.875,483.110,581.940,617.993,454.741,575.694,684.369,554.759,547.770,540.734,472.921,482.982,536.069,611.600,448.546,464.219,455.784,423.875,597.329,524.256,529.995,468.585,403.190,508.732,528.156,496.381,523.492,494.108,477.092,431.459,393.755,424.230,426.090,346.625,396.858,395.780,338.893,320.982,403.214,512.201,496.051,536.069,571.653,743.658,859.644,826.632,915.511,753.910,672.066,533.770,497.057,473.959,330.966,389.730,598.582,1061.720,1720.984,2705.386,3335.276,4541.314,5426.567,6471.963,7370.114,7391.527,7441.052,6892.923,5339.082,3993.141,2442.723,1446.746,792.424,479.747,313.473,317.701,294.035,309.110,314.206,341.110,
