218,128065.815,114003.550,77566.269,75596.354,80179.376,104274.572,151260.351,178164.406,186857.437,171143.192,117289.996,63963.525,32315.432,12738.813,9274.997,6481.105,5034.298,4583.776,4240.155,2815.986,2610.245,3508.537,3161.800,3257.644,2664.448,2178.556,2686.287,1736.187,2206.421,2525.362,1726.841,1744.789,1423.914,1980.705,1131.835,1357.042,980.361,1095.326,1142.295,1101.433,1533.978,1722.501,1519.735,1310.270,1493.070,1255.994,633.414,1283.534,1318.036,1063.699,910.813,1056.884,883.555,1037.272,1002.868,987.805,861.070,927.657,1019.511,749.343,968.995,741.169,515.560,679.637,797.839,644.359,711.935,615.300,463.182,516.393,567.972,582.458,466.443,666.956,630.538,589.672,463.517,500.546,477.610,504.106,702.767,559.417,470.041,581.009,544.262,465.013,563.199,445.414,522.172,566.186,470.362,462.987,557.467,470.940,463.233,470.712,511.855,606.445,447.284,615.802,563.226,670.726,689.947,666.623,582.824,625.485,459.977,388.143,469.791,534.174,537.279,793.853,1000.879,1127.879,1374.707,1658.819,1830.250,2011.320,1832.962,2059.479,1735.318,1395.876,1053.708,753.974,567.149,436.659,369.712,333.994,290.748,282.207,318.131,284.974,306.842,297.347,202.803,299.522,262.342,220.355,320.795,278.860,295.402,335.351,318.562,269.677,203.497,294.770,260.300,246.525,256.965,302.605,275.681,
220,124219.245,84516.770,96228.985,67298.451,76149.430,82198.946,113689.936,150371.881,183222.937,203262.386,180113.035,116869.744,69699.846,34475.871,15444.645,9412.310,6218.903,5068.704,2835.869,3186.246,4488.844,3040.756,3214.210,2591.525,3036.263,2216.587,2154.925,1724.580,1990.471,1824.159,1672.141,2075.035,1326.706,1582.819,1548.050,1705.823,1413.300,1601.178,1279.290,1322.491,1536.056,1790.952,1347.226,959.262,1512.670,1135.568,1070.931,1088.743,1265.186,1308.930,1153.817,974.251,922.516,972.891,857.422,840.180,875.274,927.184,1060.790,815.436,846.280,720.912,795.789,713.923,925.188,612.767,549.612,810.594,771.101,672.990,676.842,427.812,610.071,559.579,652.075,530.752,507.124,648.550,625.262,486.317,582.050,536.043,586.114,485.471,650.178,446.014,457.755,554.453,516.601,428.230,463.385,505.183,419.937,492.045,347.312,623.539,385.381,462.545,423.467,565.619,575.118,641.993,642.273,666.779,646.864,650.198,568.218,655.937,602.752,489.779,419.086,571.246,579.860,722.812,967.826,1158.170,1383.413,1813.899,1951.406,2379.853,2198.752,2038.084,1872.379,1692.076,1196.651,901.047,676.078,479.624,406.806,315.392,308.191,262.607,253.860,287.271,224.715,282.529,315.501,271.815,315.857,248.576,269.332,343.777,287.510,303.835,305.901,314.090,293.310,257.141,273.232,276.874,288.991,
222,91398.053,73331.600,104957.980,75103.261,68096.027,55149.383,76587.713,101669.550,158799.972,217468.629,229663.824,179698.664,135074.150,70535.745,30854.252,14870.843,7125.743,5267.646,4555.888,3937.563,3096.881,3899.025,3172.751,1960.843,2549.609,2145.170,2110.843,2500.253,2625.804,2545.721,1983.618,2093.123,2258.629,1868.712,2254.322,2224.587,1854.120,1438.841,1896.247,1368.906,1442.899,1528.271,923.626,1422.743,1198.360,1290.163,1031.625,1225.344,1472.853,564.606,1024.711,1216.903,785.725,1100.353,973.436,756.761,1072.940,606.993,987.402,1082.963,780.022,762.545,728.282,834.083,648.293,485.208,529.749,738.190,679.227,664.518,568.469,428.140,653.450,685.661,483.462,618.967,533.418,603.170,598.105,502.540,445.929,401.956,579.309,548.059,451.603,550.694,533.314,552.067,447.662,541.017,439.847,559.126,498.534,581.433,491.834,446.301,439.280,459.209,384.908,509.294,543.741,524.966,675.262,569.011,740.684,742.311,748.136,744.083,598.767,516.742,449.787,459.514,496.980,426.409,587.144,764.446,959.041,1322.378,1734.599,2402.718,2292.434,2383.923,2499.764,2487.823,2036.711,1697.124,1297.617,1088.381,729.830,475.256,418.072,224.920,315.744,288.655,282.014,301.704,280.219,313.600,256.411,254.011,268.009,286.335,305.615,266.801,329.490,269.526,243.540,304.956,307.356,259.566,352.771,
224,74023.131,75124.563,77514.769,97071.980,81700.007,54481.675,64154.358,72374.665,118606.163,186230.070,230461.924,230205.307,183727.957,134650.589,68073.903,34506.921,12553.174,7318.113,5983.492,4300.891,4218.935,3471.894,3517.261,2123.216,2672.408,2230.716,2139.213,2303.077,1969.437,2265.387,2530.873,2117.244,1849.535,2215.026,1564.071,1593.681,1831.193,1760.170,1501.443,1779.467,1346.418,937.430,1295.247,1442.545,1237.463,1091.581,1196.616,854.974,974.014,924.516,1001.730,1342.061,1060.912,797.258,857.540,939.426,773.778,514.196,800.752,783.359,844.632,844.364,662.442,781.486,647.216,812.020,868.421,557.759,505.576,675.218,639.613,794.086,529.990,534.444,474.188,540.285,666.645,629.420,575.954,467.861,488.236,487.727,533.181,372.612,587.733,570.529,554.036,528.052,428.077,453.102,523.409,412.466,351.736,489.186,309.624,515.165,466.055,421.000,407.245,467.774,422.334,508.294,571.662,526.909,636.911,669.318,871.287,758.862,661.840,642.718,589.804,566.395,580.433,498.258,395.880,418.234,634.139,793.242,1205.075,1682.111,2007.621,2291.021,2886.340,3029.576,2903.020,2751.912,2504.864,2150.989,1535.629,1013.992,721.361,451.384,343.075,270.871,316.709,240.801,271.918,327.433,310.590,324.836,249.135,341.804,336.658,303.170,288.855,223.173,311.555,269.964,307.456,260.361,375.563,
226,85993.044,83140.042,85515.925,85636.079,76253.506,71293.389,64888.597,52163.383,69475.780,120662.965,188495.582,237789.934,245312.599,210383.480,141587.932,81917.973,35487.799,14753.221,6470.334,3209.014,3739.076,3714.989,3029.417,2990.302,3425.442,2896.336,2032.924,2227.436,1483.154,2783.480,1939.125,1515.449,1389.422,1791.989,2044.517,1862.443,1458.570,1882.871,1728.943,982.148,1691.071,1039.256,1202.933,1417.477,1343.741,1492.064,1627.335,1078.010,943.599,854.765,945.430,1248.871,1220.118,912.107,816.258,1061.057,677.633,681.333,915.505,607.395,851.217,859.224,599.862,945.781,599.566,663.362,733.184,512.194,602.221,723.507,774.270,622.509,461.409,505.430,626.752,578.509,527.407,579.353,456.260,532.654,644.314,430.707,533.832,566.117,383.568,446.240,431.532,454.554,519.485,434.681,494.356,372.848,561.038,454.545,408.279,417.221,414.713,443.713,426.957,430.331,463.154,404.392,504.536,483.858,557.329,591.473,642.824,693.379,681.794,725.255,758.065,675.355,652.553,567.075,535.816,400.955,413.706,504.013,646.296,949.465,1181.990,1757.662,2331.471,2602.345,3196.541,3073.827,3397.071,3174.270,2846.786,2344.079,1626.693,993.374,715.456,460.068,351.651,284.025,236.977,279.930,277.259,309.874,280.739,257.359,350.929,339.227,303.975,308.273,248.265,278.568,294.205,276.171,383.783,
228,73357.013,71572.882,70045.104,64376.953,70495.932,73404.008,63413.181,58931.504,61023.851,80568.467,129532.031,205634.476,264330.366,261418.488,213521.094,146830.025,82691.107,36501.519,13926.263,4822.834,2556.257,2893.532,3162.628,2804.239,2583.241,2180.730,2054.868,1933.815,2404.965,2115.686,1423.589,2188.973,1737.018,1363.907,1824.483,1553.139,2042.023,1411.111,1240.008,1170.060,1441.889,1645.922,1375.059,1495.330,1748.405,1404.498,1355.103,1176.031,1672.608,1111.377,1095.455,1143.119,727.957,972.320,1028.647,864.068,755.393,1103.852,777.664,717.901,787.671,698.017,615.198,784.547,656.664,542.767,678.188,800.834,756.273,705.868,585.851,649.940,663.022,549.640,634.621,531.866,649.407,635.241,651.602,445.126,531.460,501.968,482.730,458.545,559.682,355.660,395.498,375.598,508.969,378.218,377.759,374.958,538.837,456.851,508.577,433.734,566.085,564.622,420.843,541.107,389.105,363.465,455.731,473.863,379.813,610.182,523.850,465.913,649.067,711.106,706.773,712.400,688.216,682.370,697.288,640.539,453.265,477.632,402.818,511.295,603.571,992.219,1471.488,1946.744,2741.288,3178.381,3552.093,3859.485,3822.812,3582.609,2999.944,2442.870,1581.382,1153.889,675.106,523.788,351.724,312.763,336.625,339.608,339.172,297.855,266.384,213.583,261.932,288.145,306.121,277.846,299.809,294.623,261.732,
230,75563.215,93574.252,67003.926,56484.430,82970.426,77928.457,71599.901,58265.201,46884.125,46899.754,78692.506,142775.692,222827.018,255513.552,267955.057,229878.894,154961.886,87019.910,42932.258,14840.573,6469.535,3619.611,2869.491,3236.811,3310.244,2614.229,2078.029,2507.017,2557.824,1844.932,1757.073,1700.196,1544.465,2229.938,1775.671,1587.249,1597.195,1860.597,1370.212,1056.259,1638.209,1539.643,1483.007,1395.347,1132.606,1456.675,945.146,1602.723,1015.147,884.685,1007.274,827.053,1351.879,993.970,908.560,623.930,866.303,1085.907,722.436,965.101,664.991,723.835,779.455,507.746,757.128,663.852,673.815,544.279,834.299,645.000,568.771,706.965,508.349,604.383,405.617,554.639,649.374,617.922,617.839,433.006,569.214,453.928,484.422,519.170,433.260,456.663,459.291,501.976,464.637,604.815,551.080,483.662,542.898,567.976,444.529,431.382,596.549,410.602,499.543,479.416,375.839,370.355,349.980,374.319,389.992,458.208,365.337,423.416,576.551,617.520,777.510,656.612,656.651,809.265,736.134,681.135,602.311,463.329,385.114,451.722,409.078,414.929,741.773,1074.157,1463.463,2173.344,2820.951,3494.112,4084.280,4477.779,4323.489,3731.258,3326.148,2521.798,1759.869,1387.860,890.023,549.296,409.587,367.222,255.281,331.780,295.762,263.786,288.745,298.758,319.970,324.597,320.477,278.018,249.829,
232,50452.910,54444.559,46033.424,40207.263,56623.319,72830.552,74515.442,77665.800,59498.535,47835.542,46287.090,80963.460,148026.267,217571.021,286308.056,286100.482,244242.951,165891.521,100945.662,42656.254,15185.875,5979.349,3173.040,2523.737,2176.055,2378.319,2099.566,1922.405,2346.582,2180.686,2131.181,1851.605,1902.663,2247.101,1837.227,1767.367,1993.381,1992.844,2252.238,1436.798,1273.520,1516.469,1258.766,1124.702,1353.919,1480.158,1152.548,723.731,908.362,1194.506,1350.693,1038.592,1375.439,1167.867,904.111,964.419,925.741,651.775,674.317,819.738,777.196,596.999,822.559,1007.029,671.618,545.369,568.614,686.209,597.434,687.212,579.061,500.534,702.261,613.457,555.908,666.124,543.338,687.679,685.528,638.627,384.272,386.731,503.201,437.218,501.312,698.764,527.379,539.287,505.642,391.727,479.876,507.132,643.058,631.820,361.121,481.582,574.610,554.651,537.893,418.029,414.620,415.365,394.728,432.382,380.118,378.838,367.741,367.053,416.414,485.348,548.839,648.300,667.446,787.141,726.776,828.655,769.893,682.867,565.099,527.181,413.698,367.078,427.767,562.338,742.567,1130.638,1644.864,2310.895,3355.975,4067.083,4540.225,4256.447,4385.782,4102.952,3432.951,2944.871,2223.983,1652.720,1019.322,624.405,369.936,309.991,272.866,287.734,341.987,224.987,323.911,292.215,304.116,274.290,334.474,
234,81154.632,59580.915,36015.070,49048.257,66313.575,58221.965,73101.134,77725.922,66440.583,59158.017,40921.016,50115.951,81030.610,156452.713,237892.146,287452.664,311219.753,254295.739,181535.571,100321.595,43198.589,16854.316,5397.814,3046.353,3386.110,2768.955,2658.631,2394.724,1850.121,2455.497,2052.733,1806.433,1906.707,1498.779,1734.476,1302.394,1762.569,1581.257,1385.782,1378.510,1443.785,1370.438,1222.253,1383.695,1236.590,1429.141,995.750,1061.420,988.474,1201.174,1214.587,1412.798,891.074,792.340,875.770,747.109,740.398,824.477,804.041,662.519,925.709,929.411,814.446,636.449,644.297,699.253,627.955,630.697,465.838,434.783,659.363,406.244,505.941,633.573,524.550,514.436,490.259,601.247,603.321,434.996,588.526,491.169,549.798,426.571,531.991,481.009,525.742,501.607,424.353,458.068,593.972,562.910,431.155,525.189,449.033,571.986,397.373,524.793,432.248,353.858,483.234,393.947,368.374,388.945,439.475,357.957,402.821,373.258,358.965,434.605,332.331,495.482,527.258,555.394,678.026,825.238,757.355,823.427,702.426,679.187,527.528,488.244,444.063,364.189,410.678,568.202,786.280,1398.694,2060.757,2880.189,3591.169,4216.022,4487.896,4819.585,4901.382,4587.342,4241.843,3505.624,2475.705,1664.898,934.964,493.344,372.988,291.728,264.655,219.464,280.711,280.848,331.556,274.864,350.137,
236,77017.056,60522.161,57060.925,52355.790,34433.335,47133.679,58626.213,77178.508,76598.065,66086.569,54100.832,34165.255,37955.288,76614.064,152087.467,233724.496,298297.371,317672.053,287476.428,212902.080,111793.978,54953.676,17395.800,6467.643,3575.347,3093.132,2883.795,1787.743,1601.305,2207.729,1884.149,1077.711,1604.057,1716.266,1349.230,1754.674,2013.815,1446.134,1391.422,1456.839,1508.938,1391.246,1812.639,1400.963,1255.974,1451.969,792.374,1189.792,959.128,1336.963,1011.313,819.532,1133.853,654.688,1037.772,840.320,731.850,878.665,1091.605,590.891,887.927,804.509,722.532,609.643,770.058,649.362,741.460,677.229,510.261,737.056,519.446,578.991,585.016,575.456,601.869,563.452,555.743,563.512,509.377,409.933,508.411,574.911,481.008,574.346,539.211,511.223,526.984,433.526,396.525,517.847,435.867,533.667,555.502,492.295,502.887,447.682,389.979,474.292,461.907,401.875,350.585,437.860,455.898,412.048,454.588,429.727,319.252,336.441,339.491,405.517,361.268,366.063,404.435,528.691,545.522,666.540,813.875,833.156,842.147,845.448,787.678,707.845,639.053,386.258,363.935,431.911,381.033,496.320,966.377,1425.105,1981.456,2732.513,3540.794,4342.861,5156.866,5472.632,6288.346,6026.794,5143.063,4175.105,2900.990,1783.184,1223.341,638.339,400.760,311.136,298.334,339.180,343.693,317.620,231.826,
