218,74777.631,90979.855,72312.808,80147.747,75153.918,111597.130,172219.619,213015.496,222093.013,191439.557,136345.372,79347.798,41127.860,19113.800,10488.677,5314.917,4532.546,4993.116,5082.133,3923.966,3997.957,3052.308,2789.039,3565.164,2897.302,2840.100,1922.837,1671.182,2157.769,2296.881,2153.331,1782.325,1705.139,1774.669,1918.836,1924.644,1100.692,1138.607,1268.027,1666.605,1299.178,1167.478,1132.913,943.136,979.611,1268.753,936.816,1055.244,1024.876,1041.511,1157.075,1069.225,1084.862,878.929,1025.928,1023.102,738.125,839.651,931.767,922.578,738.820,657.655,678.446,800.503,819.019,420.507,518.862,698.473,517.055,667.268,577.751,493.355,589.803,572.878,510.441,421.527,530.602,522.040,464.431,576.923,542.494,432.612,597.480,481.813,537.578,538.333,576.915,573.403,560.733,445.127,568.213,556.000,401.800,481.330,433.032,490.409,517.076,473.502,376.238,539.013,525.900,640.145,649.946,669.025,623.528,574.977,475.953,498.804,451.714,468.146,555.630,726.372,961.725,1277.380,1690.493,2007.145,2133.875,2066.758,2255.370,2086.178,1987.266,1660.933,1167.985,866.406,562.447,479.781,270.484,301.826,305.339,297.810,243.641,294.993,266.576,225.020,269.097,182.933,256.749,261.838,242.264,205.288,280.764,279.898,238.938,301.741,283.845,183.712,329.434,269.258,293.203,326.654,317.018,
220,83484.656,77493.572,65234.423,60267.044,52679.691,84512.793,127925.265,155568.978,232448.889,235153.352,206966.363,147580.856,90130.650,41908.069,20821.638,6616.698,7419.004,5060.915,5174.806,3824.650,2365.471,3032.759,2878.870,3675.828,2589.384,2553.737,1819.441,1855.696,1738.357,1995.733,2233.158,1519.866,1888.532,1594.452,1240.967,1544.456,1859.383,1174.270,871.690,1590.216,1653.297,1251.705,1050.042,1060.742,1542.682,1177.654,1130.808,883.440,882.858,885.887,1319.818,905.884,810.307,787.065,1056.452,745.975,856.159,800.995,1129.076,862.217,725.399,795.917,693.818,770.335,694.730,576.132,783.766,561.177,681.763,566.932,627.529,605.117,618.800,563.237,494.790,664.376,385.891,497.256,564.825,580.777,403.364,584.957,504.278,522.657,593.163,496.712,442.770,504.574,486.978,466.403,470.567,403.275,457.324,449.069,392.788,355.953,399.648,422.343,521.521,494.738,473.881,631.616,598.781,586.517,680.351,542.595,543.020,486.264,416.119,506.533,462.812,430.910,566.847,694.407,1049.095,1513.168,1791.270,2104.354,2314.644,2551.470,2591.387,2591.231,2423.151,1821.977,1313.433,1030.542,773.403,458.296,420.542,298.917,251.844,226.944,247.889,268.071,262.611,222.732,189.941,246.818,217.711,277.003,237.195,261.834,267.568,328.692,278.033,283.113,268.724,261.747,240.582,259.172,319.667,
222,71449.628,85342.342,84604.808,87133.744,52927.102,60084.545,93152.574,130330.339,196459.870,253662.630,243403.444,214822.857,161797.037,98257.028,42268.607,18889.334,7560.185,4995.399,4265.437,4767.059,2872.033,4239.307,2673.734,2729.497,2949.109,1831.749,2378.317,1992.314,2046.042,2814.507,1182.912,2091.530,1713.374,1686.862,1884.797,1090.673,1545.147,1197.218,1381.621,842.763,1065.272,1013.467,1306.115,1401.042,1436.949,1332.086,1103.888,806.734,1072.322,1105.233,1027.834,845.578,937.334,909.311,527.608,811.164,902.045,771.352,716.408,757.532,770.043,763.111,729.150,847.889,491.920,778.176,755.317,574.371,636.442,693.154,693.406,573.317,627.975,609.291,483.288,601.518,545.051,350.263,482.361,542.414,609.427,490.815,601.284,566.803,576.207,522.860,464.211,566.408,469.105,495.591,443.689,491.283,559.115,383.282,483.737,562.336,391.591,506.535,452.479,563.462,469.339,549.281,525.633,563.600,709.609,692.815,527.810,626.419,600.609,537.300,464.748,496.801,383.820,525.902,658.645,860.287,1238.804,1583.800,1933.576,2416.298,2662.131,2919.026,3162.848,2951.652,2300.735,1875.324,1541.888,1164.664,806.707,519.970,372.505,309.532,258.219,261.306,230.586,249.863,272.690,254.639,274.644,237.760,293.327,222.653,225.839,301.507,311.725,255.862,297.858,289.180,295.286,204.065,261.338,
224,83335.834,92587.398,84889.734,93583.532,69878.433,63072.733,63111.374,83883.761,130062.319,210241.715,249543.067,273343.250,240450.318,166933.229,96786.486,44890.012,15793.873,5934.431,5215.660,3899.268,3046.703,3693.530,2862.803,1295.907,3189.680,2180.898,2138.640,2529.260,2248.595,1759.953,2018.701,2011.095,2103.364,1758.405,2249.700,1812.933,1656.251,1145.566,1148.459,1342.248,1366.750,1243.775,1349.761,943.947,1388.135,1522.346,1158.399,1319.693,987.779,1016.247,1002.578,1242.513,688.724,696.998,856.517,920.479,961.339,816.164,717.132,848.220,801.695,966.183,828.321,831.630,794.017,569.864,849.657,725.448,612.372,548.336,595.039,532.765,499.800,444.675,534.634,636.211,419.323,417.967,580.280,355.886,672.179,551.139,474.893,365.376,614.182,529.938,395.155,489.191,396.952,616.376,505.196,541.812,477.623,477.927,458.233,634.594,506.420,522.143,358.824,402.260,554.361,355.306,466.667,497.488,605.053,718.391,676.536,703.589,595.710,658.202,651.072,565.433,457.836,425.634,425.010,520.342,723.551,1069.358,1281.293,1748.557,2484.587,3088.375,3424.390,3294.579,3360.649,3121.313,2776.067,2302.196,1643.145,1196.223,783.476,595.785,320.045,271.015,314.807,292.074,285.460,278.921,244.200,249.530,230.959,225.268,238.090,237.017,246.257,249.108,226.964,218.426,289.014,313.041,264.550,
226,82718.689,81848.152,58172.783,73923.800,81113.544,71636.398,52523.707,51935.598,82549.482,127516.457,218881.935,269823.742,299180.339,249613.700,175393.337,104297.310,47478.822,17369.407,7440.813,3307.812,4445.299,2807.506,2559.131,3696.534,2081.518,2539.241,2263.031,2520.134,1566.178,1534.649,1795.015,1911.246,2512.228,1076.999,1650.084,1777.739,1801.141,1505.096,1319.123,1425.895,1984.989,1392.213,1286.377,1078.219,1126.995,1188.866,1086.700,1297.342,1370.676,835.458,941.119,845.767,996.079,1079.853,1073.073,932.417,875.094,918.783,698.657,648.168,848.507,868.380,999.039,891.746,739.243,819.427,695.125,536.210,492.202,514.378,324.896,649.195,575.730,517.907,576.320,458.622,502.791,456.383,468.634,433.859,441.258,545.000,558.182,510.078,501.479,384.403,550.048,478.026,465.852,481.344,450.846,585.302,447.022,454.383,481.750,593.233,407.097,428.857,385.644,458.693,457.916,350.463,439.217,498.344,497.545,555.290,498.034,761.314,677.663,729.923,782.015,664.947,645.367,523.410,417.560,477.431,530.634,564.071,726.279,938.508,1490.531,2125.271,2931.168,3169.015,3446.584,4084.391,4060.083,3796.650,3213.741,2599.230,1966.952,1468.140,832.356,526.848,361.768,245.085,285.524,284.830,216.951,333.396,274.431,230.930,250.048,303.943,288.959,295.516,283.762,228.449,364.806,298.125,286.794,
228,42015.744,61751.741,67443.077,83075.160,68611.857,68816.745,68179.748,51364.426,60756.015,78577.350,130328.436,216406.417,289753.682,302811.948,271855.224,191186.987,116488.378,50112.383,19689.536,5632.512,3375.318,1588.255,3218.652,3128.028,2297.042,2587.264,2987.194,1682.003,2137.850,1758.326,1956.148,1790.852,2024.700,1697.208,1240.891,1471.691,1754.031,1322.312,1368.883,1164.560,1139.445,1172.583,1001.412,1150.271,978.883,1365.791,1082.589,1259.422,983.094,1080.954,1300.681,1074.364,1233.995,841.131,860.893,840.122,800.167,979.455,855.559,661.508,598.972,890.540,837.575,613.469,664.595,651.879,527.720,554.944,497.884,607.009,555.059,744.596,641.476,554.433,381.492,672.275,565.766,593.437,540.144,627.549,380.680,588.223,538.983,436.143,476.728,485.395,300.473,442.938,502.018,516.948,535.950,503.343,576.076,566.666,483.728,436.550,437.617,295.953,391.226,438.751,351.856,318.842,473.530,491.122,383.090,406.341,586.711,548.054,646.244,581.815,795.165,749.414,665.607,654.322,604.013,508.195,470.530,454.626,458.467,583.033,864.816,1156.390,1745.317,2198.862,2941.005,3497.394,4277.324,4605.266,4551.796,4376.592,3569.918,2785.010,2117.282,1516.178,903.716,589.516,434.536,305.600,302.088,268.069,265.405,284.443,259.651,332.424,275.440,245.427,309.485,241.891,396.287,280.806,325.631,
230,67014.093,57299.544,49931.413,57578.759,66253.468,86097.170,78122.205,61768.706,46962.349,53359.052,86653.824,143309.051,228729.601,296036.006,325667.561,285633.959,209011.821,119400.744,58395.987,19756.576,5869.224,3484.250,2834.898,3112.607,2692.521,3033.003,1921.094,1939.874,1636.655,2662.284,1491.849,1984.780,2032.511,1508.581,1173.577,1535.427,1109.757,2011.224,1627.319,1348.544,1319.024,1320.876,1249.693,1455.849,1381.705,1108.821,1081.871,840.208,956.068,775.738,777.163,794.692,1013.398,1084.521,971.546,673.151,1040.043,759.104,849.239,650.953,434.518,812.382,875.015,564.163,778.669,570.224,675.883,431.618,678.202,555.882,752.357,579.140,580.590,645.011,501.491,573.417,529.919,608.952,508.750,551.696,509.636,425.322,478.645,540.790,559.025,392.735,430.242,449.734,433.755,481.011,551.990,428.333,520.982,460.070,391.135,501.460,416.379,541.290,367.245,459.056,386.684,483.520,426.880,393.769,365.638,327.474,391.980,438.148,487.748,530.717,612.804,703.766,679.360,762.310,750.724,614.914,526.884,549.501,523.482,438.684,395.921,472.543,887.285,1165.492,1671.289,2499.504,3338.875,4175.451,5008.255,5311.068,5074.409,4745.461,3931.743,3166.325,2370.669,1652.195,1067.244,725.753,442.276,319.205,287.573,321.979,281.702,212.194,312.112,255.550,292.490,361.066,277.901,270.376,324.889,
232,94191.252,68224.819,68801.907,60388.863,69166.831,58986.059,70761.376,71193.898,54558.633,48643.191,50591.944,83855.920,149206.570,242662.880,317725.103,344558.894,300556.683,222969.142,130886.017,59254.218,19857.874,8724.280,3117.249,2934.995,2146.671,2524.797,2138.061,2675.299,2443.647,2482.763,1963.194,2190.344,1607.566,1360.805,1700.179,1404.582,1327.862,1497.841,1668.783,1535.227,785.232,1038.967,1064.446,1191.942,1288.008,1618.088,915.087,1593.780,1491.776,1315.353,984.497,933.887,666.242,883.618,831.307,868.522,652.020,794.228,757.027,778.169,759.578,733.508,731.668,660.797,763.739,772.031,676.066,673.661,598.484,684.920,648.166,622.970,520.843,574.767,680.615,596.942,380.129,482.558,486.227,430.066,599.500,545.094,644.219,441.746,446.357,345.362,450.176,488.493,445.650,485.239,501.473,368.748,329.308,505.085,541.506,472.155,423.779,556.218,401.435,418.892,348.266,400.910,441.294,331.220,361.276,300.663,394.734,389.093,358.125,504.565,488.127,522.891,731.978,704.153,736.369,796.081,728.301,734.853,627.634,433.730,406.231,484.326,477.634,551.884,817.993,1414.780,2015.437,2814.351,3878.669,4753.588,5256.175,5504.021,5409.531,4816.550,4269.867,3653.999,2880.077,1963.840,1237.095,865.748,494.663,327.687,246.473,321.968,263.333,240.549,352.880,227.554,254.998,189.452,284.230,
234,68128.767,63823.783,57645.958,45847.107,59470.375,55766.902,72439.372,76203.730,69054.283,59882.403,40292.188,51065.734,80941.929,154366.486,255096.929,333134.546,362799.733,315294.361,233409.667,135282.402,56628.762,23248.002,6275.128,3583.175,2577.110,2180.285,2486.562,3000.953,2796.620,2063.948,2150.042,2129.271,2299.227,1560.072,2222.578,1600.470,1252.658,1380.340,1450.185,1307.150,1346.982,723.648,1201.509,991.860,1482.967,1401.362,869.494,1018.825,1249.237,1226.447,1188.587,1055.990,940.317,1027.322,877.760,876.457,808.348,763.022,589.922,840.687,1027.208,729.547,779.589,982.072,854.421,736.871,519.321,596.751,611.679,765.490,590.084,721.239,525.478,505.817,550.369,665.801,586.491,393.424,564.144,452.841,649.095,671.736,555.665,647.667,475.494,387.681,434.050,573.645,493.419,493.727,503.743,433.400,430.652,494.534,540.889,416.911,490.297,397.960,487.426,496.875,426.839,455.093,400.761,345.111,385.256,338.480,333.538,335.752,310.445,414.896,416.339,460.279,534.552,561.707,658.183,652.705,700.579,809.369,742.572,647.422,575.419,440.214,452.297,358.603,436.247,668.072,963.998,1492.935,2322.051,3259.654,4185.525,4901.940,5761.575,5843.665,5719.895,5634.026,5088.144,4347.780,3328.472,2369.176,1246.995,748.733,380.367,314.591,285.160,323.821,261.190,253.034,320.183,309.966,175.473,
236,55779.392,63219.063,45961.166,48587.983,37964.496,49773.819,56474.666,61722.330,67674.300,65099.241,49177.442,41559.019,43396.304,76538.008,148494.744,254951.814,343778.796,383107.740,352693.396,254255.448,152619.152,71761.278,22426.164,8032.826,2974.931,2778.370,2533.112,2508.810,2044.535,1691.467,2528.212,2073.887,2280.786,2128.398,2224.711,1672.659,1389.137,1452.732,830.519,1101.906,1639.134,1270.422,1362.192,846.430,1221.794,1557.117,741.248,1077.715,1134.275,1190.587,1175.934,924.909,869.629,669.473,797.912,937.147,691.291,940.649,884.794,732.553,718.203,809.370,788.143,867.682,892.726,632.074,624.220,669.002,534.049,661.699,542.687,566.795,694.216,517.285,523.426,577.333,620.007,470.789,450.657,470.890,599.191,464.835,741.173,482.885,524.961,435.423,429.134,557.608,609.845,529.889,511.798,512.874,499.488,507.325,479.838,384.617,463.846,423.718,389.133,551.618,436.325,424.914,444.200,390.735,375.868,388.628,420.566,392.754,320.821,302.424,371.765,408.770,467.830,456.203,550.342,673.585,676.091,797.714,796.640,918.526,634.961,699.161,612.551,501.806,403.810,349.135,384.176,597.479,1093.683,1622.507,2521.190,3166.327,4109.148,5072.753,6161.728,6672.997,7295.481,7540.715,6787.998,5862.429,4062.426,2242.577,1505.498,771.266,442.010,376.679,275.107,302.370,281.893,364.567,258.256,
