218,77169.193,81853.913,91230.182,62950.874,80796.466,110925.644,170758.187,208034.975,227954.189,201400.599,150716.137,82534.231,44704.851,18742.966,10458.127,5892.671,7186.250,4258.338,4409.709,3809.393,3979.094,3310.397,3340.733,3942.007,1927.963,1952.367,2435.879,2441.961,1760.019,2393.837,2417.628,2066.376,2132.489,1897.286,1174.331,1993.731,1698.168,1847.710,2048.810,1595.081,1155.074,1158.149,1450.699,1515.783,1785.809,1401.066,1464.626,1211.123,1354.114,1326.479,1465.375,1134.046,1085.495,1094.505,1191.781,1162.742,950.256,814.167,1200.585,551.187,848.459,764.404,960.611,942.411,825.335,791.950,622.654,875.152,734.688,528.448,711.829,647.508,648.108,516.002,743.221,787.746,612.959,552.464,598.828,684.105,583.844,673.266,589.045,639.010,548.702,444.375,556.898,524.660,443.086,418.885,598.240,432.103,572.320,652.380,458.392,544.322,588.933,686.071,719.743,667.642,628.881,507.488,560.781,716.621,572.309,576.718,557.853,535.511,590.305,576.217,716.537,1115.380,1174.842,1672.232,1803.186,1987.812,2370.885,2258.320,2407.328,2193.129,2046.682,1560.257,1308.951,950.693,715.405,521.955,442.488,323.427,378.915,405.337,294.384,334.687,263.394,206.633,227.910,309.569,322.034,327.564,261.072,267.725,288.762,221.686,289.821,337.963,352.149,394.797,240.341,278.505,258.106,352.338,337.435,
220,89660.578,107249.279,85701.988,74566.722,66247.288,88628.509,126617.192,190447.778,251321.880,265294.193,229865.058,161432.048,98663.195,47135.508,18354.537,10285.178,4785.154,5251.984,4096.366,4337.475,4879.759,3691.950,3498.944,1598.517,2396.645,2897.361,3468.355,2317.539,2348.640,1955.178,2144.778,1891.959,2329.231,1781.974,1776.870,2129.762,2062.331,1787.876,1244.485,1751.954,1530.005,1299.582,1365.237,1220.238,1340.791,1630.771,1509.090,1434.539,1064.156,1382.949,1180.755,1320.416,1207.843,1193.945,1018.840,745.260,541.697,626.942,1021.496,862.946,900.629,991.753,900.369,1060.558,786.147,770.454,731.982,675.679,780.343,625.238,595.521,569.540,485.561,529.691,683.410,641.431,649.415,566.583,499.397,743.895,599.692,463.304,595.394,650.952,690.660,599.093,623.837,560.430,568.562,464.194,462.572,471.746,609.006,590.652,405.211,485.960,575.393,540.877,617.599,602.144,614.133,690.816,725.770,735.690,755.636,669.605,615.328,575.134,535.763,595.846,550.881,622.856,680.109,1015.201,1282.502,1583.296,1936.307,2333.739,2630.140,2862.802,2816.002,2591.247,2288.288,1996.041,1602.666,1150.945,883.878,531.768,450.674,407.772,324.467,290.321,257.446,349.305,317.553,329.696,281.140,293.512,412.889,340.356,318.300,350.844,354.048,290.271,334.872,335.235,303.379,376.240,390.309,242.883,346.367,
222,83505.061,87868.547,87759.826,74157.151,57970.901,68499.672,98421.361,129662.851,201127.954,253581.750,291786.919,259410.051,183705.828,107262.277,48686.373,22758.764,7469.343,5042.376,4946.054,4033.159,4157.645,3911.218,3238.535,2316.386,2945.284,2905.317,1847.341,3096.180,2511.651,1750.580,1953.330,1630.210,1613.713,2172.535,1941.833,1806.590,1414.718,1258.393,1372.763,1627.573,1262.521,1454.436,1177.572,1711.289,1357.277,1712.791,1659.269,1266.287,1118.004,1391.641,1206.026,951.169,1067.885,1027.460,929.723,867.590,891.560,1140.341,1054.957,965.667,921.551,899.127,922.192,863.255,1049.656,585.356,846.325,723.603,541.042,747.799,623.402,610.699,667.320,696.481,612.117,731.276,628.345,603.522,637.621,721.061,639.119,565.118,706.004,505.986,666.633,561.213,536.806,612.230,618.358,530.096,531.786,550.243,559.246,618.234,568.823,415.254,476.889,471.253,498.816,627.528,532.994,674.288,596.815,675.750,751.365,700.084,727.132,661.147,652.069,584.407,519.958,518.917,475.413,511.100,642.120,991.528,1301.722,1892.550,2188.825,2742.978,3031.898,3382.458,3258.088,3054.828,2754.989,2269.381,1681.815,1429.871,871.223,724.517,455.860,339.831,321.897,286.732,296.862,366.966,295.938,258.755,277.966,347.261,339.009,292.405,288.782,318.700,323.530,324.942,349.692,336.663,333.885,338.669,374.727,
224,77398.467,75745.087,86522.605,83209.948,71838.854,57182.964,53855.160,92053.540,142568.835,217498.932,268226.466,308432.216,286474.103,203158.180,111834.299,57752.621,19426.853,7977.706,4423.375,5455.288,3844.478,2956.795,2578.449,3051.390,2230.615,2849.527,2341.696,2476.202,1696.840,1660.473,2209.002,2146.988,1420.117,1412.605,2083.143,1944.776,1918.020,1952.980,1350.041,1353.401,1655.721,1718.876,916.145,1453.547,1328.038,1457.011,1436.443,1471.483,1096.783,1186.485,1291.164,1340.043,1139.334,1137.985,1026.898,839.954,1083.440,1183.004,1005.965,778.661,845.040,780.286,927.808,687.061,871.491,1055.232,764.265,642.305,543.958,762.624,571.299,718.585,637.877,545.817,663.186,620.228,573.603,719.873,641.904,586.283,486.079,740.166,566.000,604.112,588.472,535.833,517.676,647.387,575.925,474.740,536.155,696.939,525.132,465.657,688.046,531.241,561.104,552.168,542.561,537.527,601.105,476.278,607.168,640.987,783.360,731.739,705.790,788.143,643.611,676.735,722.106,578.701,515.849,479.628,492.986,542.723,760.812,1121.815,1518.889,2036.998,2555.672,2969.937,3587.114,3613.571,3650.496,3670.907,3333.749,2664.269,1940.555,1470.257,931.315,658.231,418.881,312.200,347.798,248.094,294.922,266.092,307.452,328.538,279.025,345.474,347.774,289.998,333.647,386.084,418.689,296.156,362.024,351.349,328.222,
226,44919.428,67047.645,71023.968,85565.047,78110.279,63756.504,55802.547,58855.856,82081.797,149136.834,225921.730,304682.905,334282.702,299003.765,207814.462,128142.548,58712.531,17959.940,8722.066,4541.776,3776.131,3001.209,3225.314,3883.274,2484.773,2396.751,2487.011,2532.011,2040.212,2103.018,2095.095,2267.104,1926.621,1663.555,1984.111,1537.224,2234.320,2392.461,1343.503,1887.301,1657.107,1324.533,1397.089,1906.260,916.745,1551.330,1356.178,1055.201,1406.122,1507.732,1103.298,1012.242,886.964,1044.775,862.291,1112.410,1001.940,1025.628,812.279,752.960,760.070,792.728,803.548,727.668,853.843,1011.865,852.606,626.209,685.253,839.005,714.701,652.995,642.808,536.235,561.258,699.934,569.789,645.943,638.239,597.723,641.686,587.513,521.864,633.323,497.109,518.327,568.460,585.798,564.706,489.219,544.040,576.747,621.116,577.560,485.344,628.297,459.466,653.326,505.411,569.190,440.618,488.979,437.063,425.563,598.627,642.806,748.927,739.999,726.208,723.449,733.922,553.034,710.235,504.352,507.249,467.881,472.755,636.605,771.557,1190.602,1521.351,2278.568,2930.167,3511.316,4001.204,4382.724,4590.876,4363.976,3763.344,3102.341,2255.334,1446.996,1012.221,668.484,385.872,288.506,256.789,327.447,263.330,285.037,314.694,356.824,267.271,284.321,250.864,331.466,347.304,348.609,351.244,307.213,338.810,
228,61455.566,47806.391,76957.193,70216.544,77413.863,65050.313,58320.031,58263.083,62773.966,89749.373,152874.811,251323.056,320988.154,367488.610,334748.169,241015.964,140111.389,63663.004,23839.238,8016.553,4895.080,2464.081,3488.463,2931.190,2094.389,2585.684,3075.732,2145.146,2348.141,1944.487,2492.464,2859.746,1846.604,1942.302,1766.536,1993.955,1713.321,1554.568,1791.222,1744.489,1701.279,1318.960,1252.629,1510.214,1619.003,1038.027,1133.727,1188.646,1444.496,1527.686,1247.754,1425.033,872.952,782.832,1064.920,1089.344,800.250,1124.736,1038.127,760.852,800.288,968.656,901.975,709.165,768.543,862.174,743.453,778.527,956.046,794.081,674.921,696.546,621.466,605.573,647.916,803.217,539.722,609.748,547.185,555.307,506.897,635.622,586.062,624.491,491.779,486.837,549.529,627.764,549.113,476.451,610.743,568.372,486.705,542.109,549.090,583.669,647.918,534.762,615.983,566.461,439.358,423.773,455.301,496.886,489.172,414.751,609.144,634.847,685.084,692.057,726.793,746.512,725.251,760.414,567.093,603.731,455.343,500.859,573.967,650.955,835.576,1193.177,1986.075,2480.463,3255.935,4064.617,4681.653,4966.949,5307.811,4947.903,4255.590,3205.423,2438.660,1515.784,989.520,726.159,407.324,398.289,319.512,329.608,291.698,342.715,318.955,315.185,286.254,279.331,312.068,302.038,298.816,243.851,295.830,
230,55374.097,68478.121,74005.921,68193.579,61390.221,78137.013,70438.507,65931.058,55683.320,55893.750,83563.219,163530.286,249563.003,361275.782,386018.202,364362.997,260835.020,150280.993,80121.516,26768.039,8995.952,4492.368,4084.137,2826.610,3334.964,2980.636,2037.006,2779.745,2692.509,1934.887,2124.438,2328.490,1778.574,2293.909,1493.510,2000.984,1699.143,1774.427,1685.867,1572.209,1094.200,1163.752,1303.843,1593.345,1262.873,1302.824,1373.709,1476.693,1385.727,1529.448,1439.608,1439.394,999.747,1163.367,972.429,913.456,710.662,892.189,973.176,1022.289,958.757,1083.436,771.232,868.220,900.296,649.630,902.175,758.889,739.266,687.579,820.583,810.403,480.519,692.863,569.825,676.287,579.912,569.760,658.344,724.298,507.177,536.982,621.928,428.914,526.568,602.891,535.762,553.604,474.328,518.202,599.698,491.855,474.515,582.557,541.321,480.265,618.087,580.207,484.889,497.657,423.092,440.032,508.252,515.926,442.274,516.562,464.795,423.216,546.009,615.228,652.502,778.085,725.110,775.016,761.044,742.249,641.274,486.378,522.904,465.786,420.359,659.589,1006.194,1248.938,2030.633,2795.768,3973.958,4735.182,5561.884,6079.566,5913.529,5345.979,4340.794,3715.551,2670.834,1844.950,1198.035,788.653,561.211,407.922,324.023,395.030,244.833,333.727,312.447,271.281,273.074,317.914,336.750,258.220,385.542,
232,76819.156,73940.741,71227.740,51638.870,64684.287,63537.008,62784.657,69813.621,54357.119,46599.303,44673.502,96307.194,166293.521,270852.720,384422.203,418390.106,388429.187,289972.081,180870.305,81150.086,24605.388,8435.607,4118.896,3609.374,2118.318,2729.017,2590.667,2851.302,2264.609,2072.623,1792.868,2723.616,1953.566,2132.868,1900.237,1725.984,1999.849,1759.328,1480.576,1076.870,1294.576,1807.280,1628.760,1478.019,1344.841,1518.324,1507.685,1633.100,1250.528,1336.014,1304.938,1335.623,1149.263,1171.544,1045.127,819.616,1075.786,971.554,1303.488,1018.599,921.695,806.773,790.041,683.740,686.230,765.423,636.635,773.746,661.424,690.225,518.423,701.669,810.172,793.104,500.724,752.886,659.066,483.839,527.316,607.910,489.775,575.250,635.956,569.523,638.719,507.895,446.780,505.667,680.284,567.768,556.645,631.232,526.700,496.739,544.057,452.961,546.152,482.972,538.189,521.544,524.718,538.065,509.737,483.656,501.727,511.740,387.284,424.983,501.213,546.574,501.586,685.392,690.746,777.686,871.743,765.348,788.110,752.212,598.503,615.475,564.660,405.259,569.385,649.011,969.707,1532.485,2262.437,3342.387,4450.535,5698.044,6141.712,6550.147,6363.878,5657.046,5178.398,4172.960,3064.354,2342.177,1622.243,967.352,480.843,424.738,341.429,258.258,368.801,310.514,270.869,314.895,379.711,311.371,340.458,
234,71664.743,55768.048,46896.146,50466.566,62093.295,65723.962,72625.111,75427.850,65070.733,54134.798,45652.267,48054.784,92637.846,176753.134,306361.879,411796.021,463795.155,413778.620,321186.797,183112.013,80157.072,27224.973,6738.647,3720.438,2930.409,2550.525,1858.181,2744.864,2610.201,2538.849,2152.166,1901.514,1849.051,1837.377,2143.954,1839.494,1765.650,1524.655,1878.192,1524.257,1800.516,1588.765,1447.346,1311.793,1286.239,1354.780,1229.742,1388.410,1317.997,854.356,802.676,972.347,863.296,1286.149,997.505,1044.841,1094.974,1022.046,855.966,881.035,875.818,771.196,626.666,759.039,844.520,908.948,645.611,692.258,638.193,845.573,639.351,707.085,661.817,589.671,636.778,666.152,461.537,600.934,675.584,635.054,658.149,701.004,510.670,585.730,554.907,590.024,579.518,375.660,446.200,595.097,584.978,526.618,570.954,635.317,531.221,507.620,502.219,455.057,539.329,363.421,578.183,425.628,476.954,489.058,413.569,464.427,487.822,467.610,419.781,528.457,462.158,470.777,654.667,723.811,797.399,760.375,835.495,873.093,734.625,654.945,659.735,550.882,513.039,376.062,457.662,648.508,1024.143,1742.699,2739.968,4056.217,4954.976,6118.945,6528.380,6798.223,6869.413,6436.506,5864.122,4989.629,3723.462,2371.027,1412.264,767.001,520.910,345.169,286.499,305.820,349.562,339.154,294.400,368.296,337.540,
236,68632.436,54027.029,43409.123,31712.090,39651.556,44466.017,60832.719,65375.510,66271.331,65735.939,50056.582,39066.902,49463.838,93317.515,174400.283,304560.019,429238.422,494066.438,470545.459,355111.917,208346.475,101168.667,28919.848,9503.420,3107.960,2957.297,2409.679,2115.862,2406.257,2601.726,1933.983,2074.513,1838.556,1526.153,1694.705,1691.832,1873.182,1986.417,1851.223,2112.252,1402.106,1703.404,1279.465,1440.349,1475.773,1355.382,1397.113,1204.810,1238.975,1276.772,1362.322,1354.041,818.840,1175.764,870.836,1108.853,958.858,921.950,966.941,1049.919,1011.789,690.838,780.823,605.137,880.726,935.888,550.531,659.739,672.386,606.641,769.693,665.553,500.113,547.704,574.804,702.425,472.343,616.739,635.507,592.079,643.366,745.686,518.215,614.516,571.175,505.682,626.755,638.811,554.001,537.569,621.785,506.507,616.192,566.628,520.319,622.613,462.909,632.171,519.228,497.730,479.065,414.515,382.857,368.796,474.081,464.210,435.028,518.191,428.340,419.875,440.013,429.730,524.560,523.217,474.233,653.742,770.424,919.230,939.253,787.939,781.116,741.541,526.508,566.099,449.924,455.229,519.662,705.416,1227.580,1908.963,2925.828,4032.977,5271.432,6279.956,7157.264,7892.137,8363.213,8436.136,7490.499,6227.104,4264.141,2862.941,1651.265,917.095,498.243,393.229,299.737,309.176,314.543,326.345,296.925,
