218,115436.233,106210.960,95710.877,107315.496,116954.931,192435.661,294860.837,361456.123,392938.879,341379.893,248351.191,138291.807,63094.488,30306.193,14099.016,8244.960,7416.924,6023.384,6186.555,6253.006,4892.465,4249.063,3966.278,4135.327,2390.851,3217.240,2791.563,2732.202,2675.021,2871.874,2796.782,2764.080,2708.069,1654.938,2685.949,2250.234,1677.589,2680.654,2168.995,2146.672,1941.657,2252.173,1866.611,1635.778,1501.783,1631.469,1771.969,1545.867,1654.806,1692.684,1454.600,1478.817,1541.406,1369.590,1408.316,1213.464,1274.155,1250.588,1008.436,1305.736,994.363,977.998,890.978,1007.506,1060.748,1254.651,708.026,965.222,977.860,862.947,857.793,892.862,1009.347,758.551,809.436,854.021,781.675,659.255,915.118,759.614,775.390,661.456,604.759,715.569,700.826,701.587,676.884,640.076,684.651,702.073,609.088,544.314,663.545,598.925,709.867,680.951,762.561,606.115,706.296,909.066,705.556,792.792,908.025,779.579,904.551,604.143,640.433,542.899,573.010,730.097,890.190,1313.334,1654.794,2290.882,2728.571,3272.003,3725.458,3804.602,3861.235,3570.853,3134.380,2464.572,2028.927,1420.130,986.474,667.611,512.754,414.202,393.613,341.928,388.613,385.175,327.032,292.650,300.626,325.481,328.453,361.221,393.730,296.008,297.300,334.325,360.852,363.911,406.746,352.950,394.212,297.202,328.042,404.590,367.557,
220,110509.440,115185.966,75894.478,101043.100,90231.815,133441.299,211545.990,313132.676,391507.312,437435.204,369027.353,268534.398,164759.134,74945.417,31295.726,11740.524,8158.545,6620.524,5645.849,5792.619,4424.255,3646.460,3396.476,3485.587,3834.053,2933.319,2756.651,3715.316,2714.802,2793.188,2706.069,2300.377,2086.744,2087.120,2483.456,2159.368,2176.310,1840.549,2249.369,1728.695,2029.887,2185.497,1955.492,2229.992,2166.899,1858.034,1899.348,1450.658,1514.465,1796.858,1295.048,1393.017,1587.434,1403.004,1184.627,1092.916,1209.346,1020.506,1152.270,931.162,1208.749,863.535,940.756,782.072,1098.136,986.924,959.699,861.135,972.564,966.371,727.488,729.355,835.052,877.611,911.489,685.990,760.756,717.066,673.714,937.221,845.846,689.468,668.907,751.333,751.479,843.441,648.179,659.829,608.747,675.188,724.286,623.564,647.252,715.533,672.729,543.809,691.133,640.967,650.032,807.629,693.975,788.655,839.788,905.855,845.612,902.490,803.306,749.606,639.101,704.705,483.412,676.886,897.733,1336.176,1810.492,2460.100,3076.586,3797.728,4246.915,4491.860,4596.647,4332.040,3827.648,3042.279,2364.646,1680.159,1174.273,880.985,453.114,439.674,398.715,309.590,355.228,364.041,350.043,336.743,265.381,341.034,351.083,356.749,396.174,402.763,325.030,268.759,380.230,328.066,376.856,343.933,335.134,426.872,359.001,
222,115962.126,98836.978,125618.646,94335.988,83785.098,87045.866,109739.290,213398.407,309625.668,417617.265,478023.627,399802.100,286941.683,169186.908,85144.267,31612.647,14149.162,7028.750,4595.441,4712.514,4933.669,4212.405,4487.469,4291.354,3639.460,2554.013,3346.918,2763.435,2960.121,2546.561,2620.817,2335.183,3494.567,2138.923,2026.163,2579.470,2308.246,1940.543,1858.127,1614.874,1843.148,1799.847,2258.260,2060.918,2103.109,1496.018,1838.887,1469.792,1405.673,1513.104,1423.110,1412.785,1243.135,1236.104,1564.828,1456.433,1303.869,856.241,1189.463,1142.861,1096.100,936.916,1013.142,972.325,1028.951,972.083,1031.607,862.985,921.140,736.731,879.123,737.208,812.112,751.871,816.461,864.979,773.378,853.842,716.572,739.778,908.199,889.668,689.364,806.825,838.093,681.127,844.283,696.680,650.436,601.858,540.935,610.241,685.794,693.760,731.232,556.534,597.634,603.910,616.564,641.262,605.259,686.048,566.201,691.228,860.922,783.045,849.085,875.172,780.019,770.050,521.356,518.257,539.581,697.208,910.281,1517.790,1983.845,2982.288,3644.169,4553.545,4948.619,5296.242,5255.013,4915.296,4239.777,3379.825,2675.260,1859.495,1142.295,954.566,641.128,401.922,352.456,316.515,367.410,287.137,332.725,352.166,314.546,374.806,329.584,372.031,316.755,382.865,445.121,341.281,343.314,439.310,432.675,363.256,294.830,
224,75086.804,85078.648,103937.972,95596.554,100083.778,81883.234,78864.394,133243.324,230655.004,369772.921,473059.912,487448.948,425055.521,294185.443,172877.987,83435.624,32534.958,11688.519,6875.422,5934.398,5764.047,5016.994,3856.061,4308.433,3689.689,2919.319,2965.979,3870.681,2681.967,2325.448,2228.073,2158.043,2446.440,2309.624,1950.143,2182.014,1998.356,1969.506,1940.711,1742.277,1486.483,1737.657,1964.079,1768.667,1981.858,1631.186,1743.185,1702.000,1611.958,1278.866,1564.101,1286.452,1648.956,1231.160,1199.219,1360.852,1568.217,1414.949,978.983,858.678,1072.009,1181.876,1183.193,965.589,1055.233,965.433,860.611,968.679,794.087,1092.229,837.766,1009.494,674.200,767.636,814.267,821.531,823.904,842.878,799.589,837.314,669.556,841.224,786.234,795.446,664.085,674.897,579.742,645.060,670.696,590.882,593.825,686.298,598.675,661.855,722.695,626.208,664.098,643.493,616.687,532.725,454.351,484.733,622.217,673.259,774.245,796.615,890.878,870.831,836.479,708.679,716.193,571.319,550.153,564.640,632.783,672.012,1032.024,1902.987,2402.547,3273.116,4283.176,5024.986,5872.990,6384.122,6028.559,5634.148,4998.508,4197.395,3137.964,2216.471,1474.900,871.967,521.857,334.269,370.827,339.399,324.580,305.219,330.343,313.001,357.967,375.103,335.268,322.994,374.373,338.896,294.775,361.117,361.674,285.497,377.460,
226,93943.238,71410.099,90907.517,93811.501,100242.728,81246.751,83441.350,89649.503,150629.016,235907.294,378104.750,515667.656,553369.141,476201.593,326382.747,194682.293,85564.020,30101.338,14943.587,6528.014,5748.296,4261.405,4162.970,4209.362,3771.465,4101.858,2813.553,2686.152,2565.989,2996.127,2525.539,2810.144,2123.298,2096.123,2467.712,1974.830,2026.202,1887.600,2122.980,1622.929,1630.055,1752.417,1955.477,2073.982,2046.754,1364.741,1540.020,1647.643,1869.786,1570.484,1433.916,1441.868,1231.857,1277.062,1290.350,1042.786,1096.679,1231.459,1028.662,1018.148,1057.096,1086.475,790.597,1087.209,1097.985,948.074,798.595,747.995,797.515,1005.991,864.359,921.753,915.153,744.942,851.926,710.194,750.094,765.434,834.151,835.533,680.175,783.097,708.803,717.932,682.682,793.075,680.665,636.634,626.207,676.762,632.600,483.895,588.364,644.985,583.965,560.230,758.602,723.646,588.801,539.565,541.121,562.456,584.815,580.443,594.708,746.847,765.240,725.332,820.342,813.119,805.835,729.256,762.880,536.333,620.521,477.311,593.123,954.420,1279.556,1991.708,2707.573,3869.094,4864.463,5745.256,6659.067,6993.076,7009.397,6700.313,6236.160,5162.365,3645.531,2323.500,1474.438,882.857,534.842,408.539,397.918,325.868,387.307,271.417,344.652,314.521,387.642,307.170,322.949,388.649,378.959,331.725,412.180,387.514,324.008,
228,88171.555,92475.846,78653.984,75871.152,84600.422,85488.333,77516.085,70287.092,86280.502,139692.723,251906.564,422834.407,542295.667,564478.858,502800.975,361342.169,210629.870,95680.983,36749.217,12694.076,6090.845,4381.246,4408.920,4168.129,3653.364,3193.029,2944.855,3465.912,3998.609,2985.194,2916.831,2204.964,3003.337,2076.863,2471.827,1292.659,1965.140,2289.182,2420.188,2099.917,1729.016,1597.465,1761.634,2098.392,1807.932,1268.940,1644.480,1931.595,1768.218,1579.954,1246.033,1589.407,1167.726,1261.926,981.869,1339.293,1326.792,1196.750,1121.065,1243.122,927.670,924.083,969.861,966.315,1097.980,1030.953,758.001,779.165,898.604,1054.593,827.467,817.393,786.064,830.706,813.839,859.096,738.582,742.340,734.173,829.091,816.629,768.115,840.780,628.315,715.493,719.899,653.108,624.233,697.063,608.680,776.669,535.887,691.228,574.649,551.638,631.261,738.496,525.174,590.384,524.259,614.158,562.209,560.813,567.691,664.827,537.691,648.371,713.022,741.878,850.811,825.538,869.149,979.237,728.468,737.149,618.611,560.961,556.117,620.447,971.679,1341.372,2095.849,3120.190,4043.601,5453.255,6604.160,7686.243,8418.269,8902.359,8373.391,7092.006,5565.980,3975.013,2625.454,1589.474,1009.477,565.830,390.110,396.294,341.038,392.252,290.712,381.636,400.453,353.987,347.494,387.388,261.423,334.161,414.032,347.494,
230,68315.717,76179.792,93168.723,76682.504,86038.548,92862.455,94621.861,75029.443,69657.353,78887.535,139802.770,270311.816,432330.621,565498.268,620707.862,549334.764,396868.113,236202.546,115789.809,37895.958,12599.909,6042.997,3667.642,3472.328,3573.078,3185.015,3602.388,3323.201,2987.546,2415.886,2260.020,1978.674,2600.309,2151.538,2661.130,2791.536,2324.636,2336.760,1858.933,1601.885,2012.255,1497.366,2175.219,1744.415,2061.765,2132.885,1518.189,1702.043,1173.245,1528.068,1786.000,1249.207,1279.239,1222.982,1176.862,1416.676,966.749,1177.149,1328.111,1141.048,1159.469,982.452,993.587,827.041,870.927,1065.025,903.979,893.180,799.086,734.638,668.567,851.209,782.030,795.489,811.133,666.484,614.593,624.558,811.152,841.529,721.071,803.781,758.110,777.671,762.061,782.703,630.667,799.265,523.074,746.953,698.655,615.551,649.134,652.001,692.093,650.222,594.659,539.053,626.081,569.317,570.540,592.087,618.817,502.336,661.090,463.228,453.997,564.496,532.677,707.105,728.468,829.763,752.735,910.838,735.087,765.050,787.134,625.926,562.885,490.209,518.121,801.581,1444.422,2168.766,3312.464,4813.779,6552.969,7910.337,9532.390,10185.812,10316.865,9075.244,7565.532,5943.078,4223.446,2935.019,1865.994,1070.954,651.672,491.419,425.909,305.484,304.121,350.097,334.314,279.317,323.708,346.754,348.299,396.177,339.549,
232,87251.138,83363.201,66974.196,70167.267,67913.213,68153.323,95568.833,88410.199,71368.005,68354.423,73568.595,147478.693,278892.507,465956.581,609411.703,657198.791,601240.239,440182.431,283168.668,115433.123,39561.173,13696.111,5313.725,3496.554,3538.428,3482.036,2498.258,3831.554,2894.153,2992.236,2125.369,2771.664,2528.595,2947.850,2512.927,2522.860,1965.430,2321.964,2220.941,1630.234,2004.354,1784.766,1858.559,1593.253,2024.356,1651.889,1683.957,1222.125,1470.489,1524.040,1632.291,1211.665,1553.511,1182.806,1330.168,1138.956,1174.080,1406.900,1034.933,917.676,1099.928,1062.322,1278.562,889.088,708.116,790.760,816.273,906.334,673.960,859.456,874.499,887.117,795.369,803.382,736.083,899.016,831.348,840.933,713.267,825.160,919.922,681.468,708.308,797.891,744.435,676.070,680.567,651.469,544.609,629.782,645.834,714.227,632.291,671.450,715.519,514.084,530.394,577.452,511.400,487.017,629.382,430.141,457.694,586.496,546.112,571.154,440.265,554.216,543.224,581.617,624.120,727.335,804.878,843.697,848.410,862.252,806.013,711.926,561.872,589.463,544.917,518.766,594.665,924.115,1471.133,2606.111,4033.023,5434.856,7598.831,9369.936,10612.029,11070.875,10721.746,9490.425,8010.975,6786.196,4850.442,3374.617,2164.544,1296.456,634.345,498.023,408.145,322.802,392.071,332.948,364.168,414.304,419.334,321.000,386.274,
234,75782.866,84140.408,63621.821,76791.131,73659.328,64250.494,81971.446,96580.108,73692.886,69680.140,55158.648,79753.641,153967.914,308786.141,500174.203,645068.827,709641.382,644786.692,499798.408,267710.442,121840.925,44265.381,11849.693,4610.484,3494.975,3384.140,3743.536,3367.521,3006.181,2741.569,2464.559,2849.365,2768.195,2936.610,2462.004,2243.860,1905.524,2266.017,1579.358,1243.813,1971.292,2003.702,1730.563,1679.731,1545.508,1380.432,1524.444,1621.746,1434.037,1268.090,1549.436,1210.039,1554.678,1263.569,1159.600,1274.568,1370.276,1399.470,1274.601,1090.537,839.403,822.856,1201.430,1004.474,1057.589,1007.330,951.987,1051.856,916.904,809.477,704.228,859.287,832.765,697.501,749.966,871.332,839.326,614.319,892.271,867.436,781.035,824.714,870.652,638.155,703.489,759.546,661.065,635.890,595.487,746.794,685.768,807.167,645.166,624.298,612.669,725.449,540.604,655.525,522.108,542.049,616.831,559.181,573.498,460.292,547.965,549.351,603.776,572.663,532.101,475.850,572.696,578.729,714.282,810.724,788.004,940.721,912.037,942.272,861.646,797.577,624.137,512.081,513.896,582.645,588.623,1083.959,1779.128,2686.861,4303.764,6170.925,8168.456,10186.446,11187.782,11474.870,11267.289,10612.321,9517.300,7667.233,5798.133,3586.233,2164.587,1198.341,671.092,383.425,359.336,395.931,354.100,393.874,397.485,361.416,405.188,
236,128930.361,64208.873,64361.543,80102.492,61907.695,51898.692,65623.335,66034.042,83141.004,77258.761,63535.069,51372.246,65965.233,147428.913,312344.385,510964.385,686230.091,778328.538,729285.400,535488.586,311928.918,151746.083,45538.332,13294.445,4585.546,3630.941,2899.100,3219.070,3603.620,3270.446,2837.340,2413.656,2277.852,2582.055,2615.668,2288.677,2440.444,2283.308,2070.051,2150.673,1975.956,1853.586,1431.462,1586.432,1623.466,1774.520,1557.737,1784.441,1757.578,1295.389,1423.921,1595.877,1413.611,1295.241,1058.771,1207.350,1063.979,980.508,949.500,1222.173,1148.296,1158.121,1111.490,975.324,1044.117,1126.111,875.472,966.454,876.786,909.499,869.936,835.970,844.793,904.780,785.865,684.256,797.479,798.435,887.399,675.141,616.386,690.064,835.584,735.188,771.350,645.060,847.436,611.016,710.624,794.484,714.115,655.361,788.078,620.345,551.334,685.646,620.437,675.838,591.314,534.124,593.367,448.117,627.556,535.420,504.123,488.569,557.477,387.867,462.943,376.706,528.606,457.266,531.347,532.892,678.260,747.866,816.871,912.931,890.336,912.332,837.654,767.336,716.253,595.763,499.337,449.792,588.139,1018.789,1664.941,2949.854,4648.424,6404.557,8437.556,10122.609,11817.662,12694.386,13218.496,13326.135,11861.542,9878.393,6555.282,4313.033,2687.273,1403.577,707.853,480.415,365.024,366.723,391.785,390.630,459.371,
