218,117863.546,103827.048,99441.697,102351.123,127840.786,194131.640,291386.244,374972.878,354170.736,228586.839,158060.126,91197.896,46171.087,24170.216,13091.083,9624.750,8363.318,6860.917,7482.046,4985.529,4490.915,4819.825,3757.361,3808.368,3861.525,3809.899,2817.757,3701.308,3033.795,2565.440,2625.445,3071.498,2806.396,2424.671,2533.743,2660.542,2289.029,2065.553,2315.561,1848.312,2053.361,2181.357,1850.148,1758.764,1993.169,1995.813,1595.844,1593.070,1867.946,1231.228,1469.037,1644.188,1208.644,1349.853,1404.384,1371.680,1300.524,1450.423,1419.572,1171.610,1244.302,1150.298,1086.309,1067.390,865.158,1002.753,937.301,793.049,944.364,891.757,911.013,953.713,725.522,849.059,757.267,807.329,628.862,774.539,736.959,841.394,649.175,774.707,674.834,622.682,574.895,661.561,659.164,743.705,657.866,635.024,604.152,766.208,598.955,719.032,714.188,684.626,701.972,610.506,730.188,748.883,731.849,850.609,906.434,822.805,783.086,745.556,611.302,564.270,540.851,614.993,811.334,999.011,1233.407,1629.185,1992.466,2307.034,2613.369,2590.875,2472.011,2319.497,2340.404,1644.667,1335.823,1039.185,616.633,477.783,486.025,469.704,399.228,406.970,401.912,327.456,358.762,358.497,356.473,361.850,336.795,336.335,348.803,340.511,368.741,365.323,362.198,374.733,386.663,342.363,375.311,382.494,405.061,355.484,424.343,
220,121605.730,106770.844,108917.706,81895.415,95882.088,124741.051,191089.839,306858.306,357450.893,298511.345,251393.510,173985.812,95408.347,45597.183,22569.544,12652.992,7842.605,6810.657,5143.269,4735.896,4990.954,4947.001,4288.189,3646.442,3334.919,3533.457,3597.763,3207.503,2770.334,2946.177,2867.411,3060.373,2244.768,2635.945,1981.902,2416.358,2237.088,2499.781,2181.357,1655.522,2106.018,2009.565,1386.633,2365.285,1897.456,2097.072,1402.868,1897.290,1839.059,1458.598,1537.671,1333.652,1644.134,1501.543,1425.414,1294.023,1082.393,1248.690,1312.341,1019.381,1299.281,1158.010,942.036,992.983,1000.413,1126.270,927.192,850.357,808.694,1017.959,995.111,813.816,781.277,694.836,661.363,787.870,808.509,729.394,680.302,831.872,715.331,672.338,780.252,654.534,649.715,641.155,678.800,740.825,602.780,590.729,638.538,674.954,584.813,618.810,503.021,665.463,668.365,582.234,657.060,622.727,595.361,812.569,747.157,766.907,802.804,754.685,671.789,702.542,724.607,599.272,633.420,631.596,765.059,1078.970,1292.129,1845.354,2138.259,2651.855,2965.427,3041.491,2912.970,2756.360,2449.244,2221.934,1477.576,1145.877,817.566,587.023,522.478,427.811,389.360,324.917,358.285,379.337,348.005,335.234,273.421,357.227,361.007,353.488,403.342,349.048,347.713,357.776,469.547,332.179,313.685,349.940,413.332,433.007,352.207,
222,117520.895,116618.869,90260.822,99801.463,85670.708,77899.166,104956.365,207280.096,303591.527,304973.732,317381.724,256791.412,175365.845,104028.572,50552.565,21810.310,10386.317,8273.193,6600.011,4755.050,5731.719,4856.974,5087.970,4706.013,3875.039,2803.189,3226.370,2842.673,3165.234,3068.358,3091.451,2741.481,2332.546,2594.157,2866.917,2057.060,2043.552,2708.407,2500.038,2082.589,2250.865,1506.139,2048.559,1885.479,1663.757,1828.075,1741.072,1442.907,1618.460,1455.037,1444.633,1366.928,1490.787,1554.439,1263.782,1465.797,1111.724,1295.024,954.218,1079.245,1184.395,982.404,1185.903,951.522,973.853,957.984,1051.295,923.638,1024.489,938.143,891.549,894.926,735.344,819.541,709.294,735.643,857.990,655.953,897.352,716.442,843.516,642.912,770.605,715.083,595.807,693.095,818.719,639.076,558.505,614.989,543.344,662.842,759.658,707.058,648.850,655.821,545.210,705.817,656.621,535.879,617.929,753.492,776.177,705.292,818.615,781.434,859.205,787.155,787.163,740.994,594.244,600.238,591.186,637.798,800.206,1107.775,1444.423,1969.157,2376.423,2847.132,3127.400,3590.079,3495.336,3188.629,2855.909,2299.087,1866.028,1295.667,917.960,623.614,506.134,438.687,330.889,326.091,337.082,312.189,358.914,399.020,356.904,368.474,351.983,376.363,368.453,414.387,372.530,376.494,322.584,352.403,392.434,377.344,374.967,
224,115686.361,93450.927,116274.564,92280.632,106936.303,83524.155,77360.903,124206.267,205924.047,253183.268,311470.369,326783.780,283685.191,192036.661,106658.534,49769.383,22253.672,9021.678,4220.996,6517.761,6113.548,3975.780,3974.936,4052.303,3382.316,3343.504,3715.574,3468.287,3423.685,2366.170,2371.721,2400.504,2419.018,2921.758,2525.247,1779.101,2301.207,2296.749,2295.714,2234.892,2235.353,1958.143,1620.499,1996.228,1997.992,1594.358,1396.563,1727.168,1456.968,1259.179,1613.745,1295.683,1213.610,1544.302,1332.234,1212.831,976.110,1313.665,1041.766,1199.502,1052.807,1058.579,1164.729,811.023,1095.517,863.112,1015.156,1027.708,1032.988,886.667,833.485,793.031,906.561,776.018,910.982,707.340,779.047,768.254,864.011,736.402,810.606,735.876,843.803,757.669,726.846,712.589,618.950,677.799,600.079,611.750,672.737,679.639,588.740,600.020,608.899,609.314,608.634,429.772,567.334,633.825,597.742,674.784,644.106,646.990,777.717,841.687,794.942,821.360,764.842,853.205,828.461,675.473,615.641,615.616,518.367,576.782,798.909,1163.084,1688.641,2057.342,2654.506,3323.577,3740.415,3868.051,3780.968,3555.013,3019.547,2618.779,1982.264,1375.345,887.739,645.872,477.893,383.989,346.386,348.204,321.449,351.235,417.928,410.697,397.095,331.391,308.101,319.882,287.282,330.916,336.749,346.915,362.417,328.466,385.257,
226,103112.301,97656.904,85935.818,101382.202,100502.195,78215.915,73894.489,79804.139,96600.672,178543.111,268689.401,336688.424,335559.247,299806.869,206981.933,118730.863,57758.567,21153.031,10540.987,6380.741,4901.737,5140.111,4348.467,4411.374,4035.065,4187.120,3230.096,3695.338,2507.412,3632.783,3848.546,2424.617,2904.728,2524.749,2221.928,2385.267,1783.322,2389.296,2116.710,2082.360,2183.985,1816.437,1529.444,1480.457,1740.156,1855.474,1536.880,1806.219,1363.722,1753.594,1525.888,1510.590,1122.422,1607.045,1291.548,1474.593,1265.237,1435.276,1163.169,1141.607,872.348,916.027,1139.907,1153.263,1124.455,726.232,977.472,998.066,1110.001,904.387,756.334,889.128,914.110,841.901,736.465,670.500,787.130,660.801,736.766,729.564,788.427,652.819,618.086,710.591,651.305,747.773,600.449,571.399,574.408,588.810,705.820,715.161,630.614,724.940,711.990,635.587,679.750,476.209,648.817,689.686,566.677,577.105,655.655,559.416,520.867,700.163,748.614,793.932,845.605,948.542,866.980,806.767,635.817,685.329,570.160,495.023,516.433,593.910,853.241,1154.487,1662.934,2321.044,3004.893,3613.505,3979.474,4169.333,4569.554,4303.755,3606.720,3023.620,2082.836,1508.227,1071.028,631.246,454.678,308.116,363.159,369.761,421.205,288.831,378.379,352.901,432.298,416.643,304.769,379.623,445.023,398.999,444.118,310.960,399.802,
228,100871.221,88907.892,81169.484,97343.788,103645.042,89529.219,81807.597,63040.297,65594.707,105162.952,163999.471,279543.917,336149.712,359663.514,303494.139,221276.812,129143.906,59676.165,25668.377,8751.945,6304.972,5138.248,3395.290,3749.061,3445.838,3559.196,3400.665,3278.166,2598.419,3614.965,3471.965,3385.927,2785.921,2855.105,2170.066,2900.866,2323.816,2100.955,2717.066,1947.718,1655.282,1799.186,2022.515,2020.492,1863.231,2046.308,2266.109,1904.703,1778.822,1579.934,1645.887,1778.708,1614.241,1370.406,1307.504,1578.965,1358.602,1225.131,1215.845,1202.500,1005.594,1144.890,895.624,1057.534,1034.546,930.928,973.604,742.395,879.603,713.377,1005.509,887.804,893.894,782.639,914.626,689.381,745.786,815.316,732.386,701.656,741.632,611.618,729.523,771.279,609.204,705.121,612.109,654.787,707.977,650.844,759.309,657.831,699.371,706.283,708.949,539.991,716.502,603.048,718.885,564.392,538.159,536.253,564.866,506.261,641.255,592.072,656.842,648.096,622.507,722.058,938.165,819.209,777.530,861.785,659.850,582.362,523.867,515.201,576.693,636.995,941.950,1216.114,1932.117,2493.430,3246.790,4215.377,4631.817,5353.322,5285.435,4955.380,4073.629,3172.760,2377.041,1593.532,1012.556,687.477,453.261,338.910,471.137,360.074,367.688,334.850,451.939,408.738,408.616,358.700,399.137,415.984,332.069,348.832,401.232,
230,87377.821,82180.336,69692.988,83577.798,94541.419,76663.844,90154.264,72147.215,52859.659,64193.313,92938.770,181790.015,268554.254,349616.627,378131.664,328242.859,238605.776,138544.138,64716.459,22060.841,7494.121,5266.509,4186.526,3372.009,3980.868,2976.551,4226.355,3186.968,2784.674,2171.478,3128.235,2779.802,2655.606,2785.856,2420.271,2529.951,1947.120,2192.226,2290.417,2659.738,2316.315,1666.337,1516.595,2159.406,2097.282,2038.236,1591.757,1810.679,1729.487,1712.983,1187.205,1476.676,1707.958,1240.346,1338.200,1231.293,999.693,1219.897,1078.964,1265.369,1189.940,1170.267,1047.038,1026.752,1036.794,1009.163,1077.519,978.468,950.937,992.691,821.561,772.991,837.520,765.153,761.151,785.820,695.225,764.164,640.751,782.615,640.222,655.359,708.055,591.079,556.734,649.335,657.876,659.183,688.826,705.762,611.487,774.577,684.947,635.386,701.094,606.957,553.410,699.809,618.350,594.621,606.687,598.279,576.374,592.244,653.074,573.251,526.153,458.453,639.267,673.537,840.521,850.032,831.029,958.842,828.067,743.813,664.396,620.417,570.608,516.661,612.911,692.983,979.599,1352.468,2012.631,2846.701,3869.687,4557.318,5815.732,5862.291,5688.606,5245.350,4633.055,3632.300,2666.894,1807.285,1189.705,784.670,577.591,427.290,335.239,464.210,415.844,429.533,319.159,378.987,380.480,332.130,349.236,423.068,452.681,
232,98911.429,74221.081,58956.514,73934.416,77797.507,81460.436,74818.086,73785.658,61717.521,51637.295,55419.551,99741.306,182715.804,276853.967,362644.271,394030.776,333341.541,240310.766,147491.383,61775.250,21967.152,7389.394,4771.314,4922.660,4356.090,3394.888,3060.863,3405.793,3292.191,2771.256,3428.388,2473.000,2297.609,2965.946,2841.646,2217.839,3122.166,2148.656,1848.321,2530.048,2077.811,1601.572,2378.457,1715.857,1873.599,2088.535,1853.133,1700.156,1690.665,1465.226,1491.674,926.574,1446.447,1376.547,1270.165,1270.064,1122.950,1038.221,1099.669,1251.268,1036.491,1044.128,1181.640,995.588,897.209,966.388,1035.773,849.994,1048.765,902.866,886.132,863.547,737.034,683.891,744.693,768.567,851.431,792.523,742.170,632.018,711.289,675.824,726.045,751.878,730.152,791.380,663.191,746.712,750.656,701.445,622.872,619.806,675.150,665.311,788.798,618.995,606.602,698.961,535.892,586.065,623.780,648.404,500.350,542.165,504.867,537.768,498.962,630.395,543.498,565.315,690.860,702.200,775.465,926.365,915.461,905.027,806.630,725.272,597.680,542.295,639.262,500.651,549.606,599.491,955.364,1582.276,2397.067,3267.935,4546.379,5274.063,5890.800,6255.305,6147.643,5537.346,4763.847,4099.099,2963.022,2115.959,1486.519,1025.823,561.404,444.705,314.052,365.518,341.815,370.068,386.556,375.233,372.680,430.373,398.387,
234,112586.974,83263.287,74065.062,81329.655,65639.807,70449.103,78144.270,88977.220,75604.049,62247.475,45190.708,60128.065,101473.349,185451.767,292614.145,368283.898,397460.094,344022.734,254440.913,132685.354,58756.625,24435.881,8039.370,3877.180,2928.926,3607.315,3656.022,3258.852,2805.825,2695.203,2876.610,2655.420,2974.204,2692.994,2724.084,1994.870,2100.633,2121.430,1930.023,2301.856,2201.971,2189.127,2208.494,1898.671,1783.416,1741.528,1696.306,1416.183,1706.488,1609.914,1584.522,1805.194,1232.868,1617.993,1318.534,1118.090,1390.273,1256.551,1330.944,1083.314,949.525,985.685,961.635,995.087,1291.185,924.362,926.363,1022.848,947.686,692.720,757.926,882.758,812.872,784.199,810.425,715.987,850.317,803.478,734.318,759.623,727.146,730.815,723.946,718.509,726.786,594.775,661.250,629.665,634.668,540.029,642.013,684.955,621.646,625.963,724.908,565.409,565.143,658.710,612.955,710.226,576.907,541.347,493.848,552.308,533.044,465.628,484.073,575.070,454.409,478.038,514.266,667.233,719.151,737.336,842.665,991.056,899.236,946.721,880.367,779.390,667.025,582.475,573.419,477.973,483.909,821.063,1116.499,1720.264,2675.864,3756.239,4837.404,5485.025,6300.148,6712.130,6673.385,6303.722,5460.655,4652.983,3798.758,2768.599,1389.046,802.298,527.837,418.674,357.020,365.466,377.759,374.878,400.785,391.972,382.953,
236,86973.379,92684.397,64159.885,61465.878,46545.232,62406.460,67381.848,86401.384,78444.651,74665.869,57930.779,44521.330,48580.288,94333.785,179220.917,281861.940,388989.230,413372.124,378287.484,270026.850,151437.204,71575.419,24037.714,7163.622,4282.552,3621.134,2860.221,3634.083,2676.390,3215.067,2702.908,3210.510,2617.484,2558.933,2868.663,2481.048,2266.185,1966.263,2200.752,1681.352,2053.058,1716.388,2173.360,2114.297,1467.766,1729.069,1769.964,1860.706,1586.066,1554.917,1701.601,1566.543,1312.079,1962.442,1455.968,1333.888,1228.674,1211.629,1150.801,1225.814,1036.393,1104.153,909.327,1050.078,1044.638,922.534,894.011,832.515,903.150,966.648,748.885,823.548,626.584,873.509,927.529,812.532,707.297,735.270,690.775,701.850,776.020,744.132,613.745,655.394,738.199,608.657,617.732,671.878,608.862,581.401,761.821,693.585,522.890,609.735,525.184,680.499,770.457,594.653,637.792,657.851,536.414,413.813,641.550,556.862,376.184,526.731,553.909,520.930,522.874,529.433,400.603,537.308,559.755,644.064,775.679,805.247,944.386,907.950,989.724,917.508,945.064,804.033,552.045,556.040,452.150,411.833,535.450,670.101,1153.363,1846.748,2574.621,3776.887,4878.617,5996.260,6794.234,7586.022,7816.009,8043.784,7687.918,6638.643,4076.550,2764.524,1642.659,896.570,593.258,419.688,393.309,437.984,409.532,361.290,324.808,
