218,114620.929,84674.205,82763.136,67594.979,77959.921,114684.555,141808.824,179239.118,188968.564,154425.427,108464.879,62235.294,34418.689,14481.443,7395.837,8993.600,5483.552,4511.788,3970.385,3776.666,3258.045,3690.379,2122.397,2529.743,2519.898,3314.681,2218.397,3326.519,1939.959,1834.361,2067.472,2100.809,1509.959,2458.447,2362.249,1712.985,1823.475,1432.854,1591.789,1885.041,1383.551,1667.813,1627.163,1352.596,1511.984,1306.844,1411.407,1159.080,1242.015,994.847,1250.357,983.671,797.630,1359.877,923.329,895.433,988.175,859.906,756.004,1006.896,719.477,675.123,741.745,707.401,839.785,592.022,891.613,677.563,721.992,427.312,704.611,753.360,513.177,692.834,498.728,546.700,539.703,553.512,505.521,488.050,380.281,568.329,573.582,458.615,461.603,551.431,516.709,494.522,419.834,543.030,392.399,471.398,420.496,515.867,460.993,501.679,572.489,605.141,552.411,623.423,661.261,746.458,840.693,644.842,670.599,610.256,566.551,435.491,529.104,604.966,479.112,744.873,902.475,1258.262,1428.893,1606.498,1786.143,1846.165,1753.169,1766.794,1521.263,1341.203,956.128,784.199,531.694,404.077,422.814,366.117,259.385,312.776,322.965,286.070,317.312,273.648,196.579,237.356,249.583,250.443,276.859,328.530,309.034,246.285,299.506,283.775,254.405,267.614,275.493,374.524,230.250,227.507,332.955,
220,94969.665,92588.554,81039.008,68976.696,76827.086,85794.720,112346.605,142500.574,182335.943,202251.908,169469.781,116447.768,67319.593,33185.511,15846.337,7689.883,5389.695,5225.788,3928.476,4589.873,3145.051,2826.746,2981.764,2321.851,3068.124,2994.927,2520.260,2298.911,2047.196,2564.209,1802.707,1670.864,1998.489,2374.556,1642.703,1611.801,1793.211,1203.415,1556.731,1824.554,1422.009,1292.833,1290.204,1521.927,1644.162,1397.413,1191.936,1152.975,873.276,943.979,1006.484,927.676,895.692,1075.881,1048.103,988.206,732.273,995.858,916.588,827.828,694.736,764.076,857.457,992.033,931.344,772.254,775.176,648.011,558.082,578.588,782.474,572.688,491.658,494.620,547.508,618.982,438.189,531.999,544.767,589.190,453.990,601.185,528.962,542.580,508.535,475.251,470.584,426.809,433.500,382.584,591.589,466.581,520.168,547.245,365.404,598.651,478.573,725.973,437.204,609.472,540.723,696.696,691.547,714.796,748.125,746.205,617.139,563.627,481.912,429.868,440.028,465.774,596.612,700.907,1000.888,1245.963,1575.921,1756.196,2057.822,2031.811,2027.794,1940.396,1692.318,1503.800,1109.337,820.473,603.428,462.156,374.385,292.887,292.969,244.738,217.216,257.000,250.473,252.712,220.273,300.203,212.719,279.191,324.154,294.911,290.957,236.460,174.676,246.363,244.083,326.118,369.701,350.083,334.781,
222,93598.444,109676.621,68415.766,57200.208,72640.502,64426.360,75209.146,94378.123,158811.655,189526.833,209717.357,168260.919,125940.603,67779.492,35075.572,14520.735,7158.987,4112.608,5105.373,4074.802,3682.572,2331.511,3570.464,3268.999,2772.885,2832.296,2626.830,2092.788,1609.863,1566.053,1884.324,1557.726,1864.907,2392.533,1944.940,1744.150,2146.181,1960.532,1489.709,1375.274,1326.183,1448.390,1077.522,1066.251,1488.018,1144.514,1136.264,1037.869,1113.678,1083.645,1025.022,827.739,980.441,1058.115,1119.754,995.555,960.450,644.456,991.997,917.622,816.582,920.031,836.228,798.129,564.304,866.875,753.727,635.998,675.247,637.385,501.802,594.826,581.340,672.353,615.472,643.241,537.664,519.180,462.469,560.267,571.133,579.915,593.196,439.469,558.923,492.767,522.829,489.986,634.770,451.160,590.647,451.885,584.383,523.244,593.530,476.498,438.503,435.287,432.639,574.063,639.015,559.328,640.062,740.372,728.299,779.011,786.439,654.937,596.811,602.548,523.557,429.046,392.739,468.765,556.385,792.182,1069.237,1263.507,1719.972,1897.013,2132.828,2405.266,2433.240,2315.365,1992.630,1516.387,1371.854,911.440,670.871,494.774,390.815,311.758,232.368,282.239,243.330,297.813,211.651,279.034,282.297,267.197,264.326,268.592,285.477,350.918,265.628,325.533,292.457,297.380,339.927,345.470,285.469,
224,78847.852,93313.339,71952.903,87681.686,84437.544,52493.623,52661.460,67558.282,130506.923,157578.252,208997.367,215303.356,188998.229,122171.894,73033.347,33122.403,13240.823,6038.595,5311.177,3739.772,5069.635,3689.375,3357.701,3885.435,2742.267,2294.997,2351.277,2320.361,2595.656,2075.060,1643.334,1779.580,2153.600,1866.785,1171.897,1651.564,1754.955,1468.131,1321.223,1598.583,1500.716,1337.361,1294.821,1203.686,1034.164,1385.359,1056.121,1131.721,986.129,1029.023,1365.419,1166.782,1125.950,1050.449,898.367,988.347,924.805,838.447,894.465,969.867,1003.192,821.556,632.448,643.042,797.839,754.247,736.629,794.207,571.640,533.091,586.251,598.879,679.821,584.881,658.598,464.756,478.206,588.303,558.699,505.088,620.207,412.464,592.138,585.921,526.649,502.427,626.211,560.146,454.311,429.887,563.584,459.471,467.296,467.499,478.225,443.043,481.964,548.871,464.316,472.671,441.892,496.944,431.400,608.351,615.282,835.743,728.855,754.334,693.144,686.132,515.974,496.491,532.493,459.599,334.576,489.715,701.304,830.618,1084.015,1425.683,1815.653,2276.426,2540.118,2597.074,2654.497,2407.662,2291.921,1843.884,1503.802,1029.161,638.284,497.981,357.339,253.922,284.060,238.929,250.245,228.993,243.009,275.065,249.041,266.448,227.884,372.584,315.356,378.508,276.353,294.470,290.525,292.779,294.710,
226,84102.878,77934.981,78669.754,79066.994,72797.150,68344.280,66230.173,49908.731,70889.983,110076.000,177681.197,219878.857,240558.970,194011.246,137517.441,74961.107,34768.816,14469.317,7700.099,3367.300,5004.136,3710.296,2536.150,2523.070,2641.845,1614.082,2054.938,2836.390,2532.711,2378.092,2216.045,2553.585,1969.069,1523.103,1684.281,1848.488,1420.341,1502.734,1628.748,1962.617,1144.666,1592.606,1570.092,1192.190,1462.800,1381.388,1197.421,1264.453,1269.048,974.560,944.542,1024.711,1150.112,1134.826,1062.278,795.399,782.650,1017.543,789.669,821.041,880.797,633.761,789.210,622.373,725.320,693.906,651.984,644.939,751.809,598.868,708.082,568.014,657.835,559.894,668.252,586.602,609.795,651.448,588.639,665.436,556.114,622.294,617.134,518.333,358.714,522.577,516.931,527.510,418.893,435.382,415.535,502.156,395.348,424.282,503.626,437.439,564.923,492.328,477.615,480.810,426.381,416.942,446.958,521.839,622.184,580.125,632.164,706.107,736.182,832.174,816.579,655.067,604.708,594.435,461.034,448.834,456.931,486.930,622.911,846.546,1254.639,1532.662,2068.796,2477.223,2823.702,3206.231,3224.962,3023.402,2682.667,2168.232,1754.737,1172.194,716.177,472.990,386.632,261.732,303.347,325.416,286.077,297.352,313.170,305.131,247.321,291.765,357.087,263.355,328.504,323.900,251.515,234.769,325.680,
228,83782.376,66666.079,66634.311,84371.516,84208.908,86538.215,75762.735,48228.307,52564.152,69652.015,116753.397,195244.250,221945.307,241637.809,201916.424,143064.445,76511.059,36591.012,14436.127,6374.393,3700.762,3663.431,2669.146,2733.597,2031.535,2402.321,1776.383,2686.797,2513.747,2455.996,1827.033,1967.627,1753.000,1689.485,2086.538,1570.393,1654.487,1503.415,1405.535,2058.152,1339.518,1724.673,1290.331,1250.635,1372.982,1199.303,1516.787,1131.695,1088.354,1098.663,1184.193,1301.286,980.174,1033.730,989.482,887.302,867.918,1043.037,880.703,754.305,852.541,681.694,831.155,868.141,711.281,695.626,799.620,535.818,619.819,568.831,850.771,707.221,616.641,663.603,590.668,540.065,643.226,537.549,615.870,583.428,477.881,578.115,533.202,586.523,590.016,553.081,525.149,533.492,467.227,520.132,556.777,419.714,388.339,487.110,575.549,435.430,512.896,524.156,424.020,585.944,496.964,473.169,508.755,378.540,536.095,522.165,520.821,609.246,665.350,674.500,746.491,758.581,695.621,787.548,674.211,465.867,525.165,415.081,399.065,453.493,586.319,901.252,1248.293,1811.813,2298.104,2909.388,3344.221,3546.967,3772.787,3443.269,2786.651,2322.044,1566.426,1071.439,687.016,466.028,337.790,324.195,223.069,273.236,300.901,337.609,311.707,322.039,295.330,281.064,278.453,269.910,252.791,304.008,280.386,
230,48547.583,73379.965,58278.299,73709.159,70464.005,79115.329,77247.791,69914.109,44817.854,45458.234,79114.078,125250.945,189229.806,240853.046,254718.582,216502.569,152410.411,86782.272,41156.458,14424.837,5466.778,3421.045,3830.104,2777.098,2715.823,2459.254,2705.829,2614.914,1230.392,1836.600,1983.618,1973.748,2632.158,1775.535,2091.736,2047.525,1405.225,1518.944,1724.516,1269.664,1489.159,1475.222,1179.938,1717.635,1615.181,1302.414,1292.291,1077.896,1238.676,742.491,1106.236,1093.375,1300.913,1038.022,1080.856,997.283,959.783,857.912,1159.639,751.492,652.250,870.959,701.361,915.328,833.458,771.999,708.217,711.097,663.752,653.060,611.712,831.919,468.361,474.246,533.706,704.741,518.870,572.466,516.961,579.355,597.697,523.703,586.918,526.879,625.708,521.855,489.678,549.887,484.266,495.662,552.336,452.249,515.301,661.453,436.801,487.726,496.368,468.079,468.578,451.600,486.618,461.276,475.998,311.358,511.636,453.207,446.193,434.063,476.865,553.037,653.916,756.921,819.409,817.839,796.994,707.485,628.788,608.130,545.054,343.611,376.159,473.552,747.942,1004.360,1387.818,2000.343,2914.012,3215.020,3816.055,4219.140,3859.821,3543.404,2981.195,2373.146,1770.431,1282.714,852.546,549.047,326.805,335.944,331.524,257.633,325.173,268.956,284.463,287.160,254.400,291.763,310.776,324.088,292.600,
232,82918.234,73400.135,55769.887,57767.867,46203.787,73024.600,83619.000,78191.588,53933.773,49845.225,45057.345,67342.454,120416.765,198598.688,253878.378,265499.674,226208.569,159406.606,96349.119,40632.389,14936.043,5977.425,4402.984,3160.442,2294.635,2704.473,2714.777,1831.918,2304.812,1633.255,2047.603,1940.762,2316.467,2070.885,1750.604,1804.892,2073.504,1889.727,1199.188,1167.267,1308.162,1109.552,1053.519,1375.565,1127.712,1489.460,940.535,962.822,1083.331,1087.816,939.568,1066.811,1042.144,1153.192,956.977,932.330,841.562,916.613,754.473,944.967,574.572,799.702,682.484,539.189,899.350,748.727,615.605,777.814,524.709,473.424,558.914,647.493,681.755,631.588,461.037,593.778,471.438,523.259,509.744,541.173,565.268,492.824,526.124,427.078,553.258,426.205,524.377,448.059,575.651,457.937,583.525,469.374,571.546,544.663,510.742,487.310,443.939,503.577,496.080,396.824,466.380,467.289,372.149,387.383,380.621,345.831,401.862,474.018,471.126,413.263,599.079,588.940,732.400,812.146,768.705,850.922,730.934,820.740,641.512,575.177,445.239,336.873,327.108,483.978,683.942,1164.703,1766.405,2213.929,3146.341,3771.805,4099.869,4315.984,4290.987,3914.304,3208.125,2911.089,2129.129,1473.405,1017.789,645.603,369.504,256.634,207.123,282.227,262.646,296.241,222.412,245.399,233.606,297.852,319.408,
234,87506.319,74777.053,53493.301,55855.124,47790.920,66326.035,69759.944,79003.792,69001.517,59144.879,43502.718,47701.776,68126.539,124837.402,206541.267,258898.313,268997.413,237799.104,174399.884,91561.918,40134.374,14950.631,5335.995,2668.106,3075.011,1989.518,2030.000,2236.570,2256.289,2075.395,2725.205,2028.204,1581.157,1479.757,1857.433,1735.284,2017.805,1404.217,1924.092,1510.345,1695.784,1154.394,1386.266,1793.812,1249.678,1194.424,1396.067,1638.165,1239.147,1324.058,1095.556,1062.075,1271.744,1085.974,1092.686,732.916,898.709,910.139,905.646,994.044,1089.717,747.427,667.048,776.409,669.665,766.195,581.418,782.834,711.661,581.645,685.941,569.733,647.269,740.500,476.245,469.012,559.089,575.821,505.263,603.136,593.505,428.986,544.608,596.591,610.245,458.624,479.639,374.528,435.681,511.447,581.520,634.375,592.103,530.932,728.692,535.844,399.769,484.950,396.621,387.485,419.499,376.825,445.495,364.149,443.687,409.470,389.974,400.874,348.391,346.886,411.228,534.196,650.836,637.364,807.251,904.936,775.308,758.563,811.979,694.416,613.716,456.791,400.901,397.388,362.389,596.398,899.143,1265.480,1908.599,2521.358,3278.614,3867.826,4340.869,4520.558,4678.573,4460.139,3856.938,3386.661,2470.564,1669.793,960.048,542.137,383.049,338.430,282.718,319.779,340.666,253.337,255.507,337.502,338.172,
236,71190.444,61663.414,49990.823,43806.374,50001.852,32898.424,63069.000,68528.205,75898.639,74171.680,52383.496,45444.389,40263.819,62007.121,125895.069,204109.429,270053.385,293292.030,259346.714,187267.701,105148.489,51743.051,16663.928,4811.053,2206.192,2081.851,2119.646,2178.063,2114.672,2626.529,1516.391,1919.434,1370.698,1784.428,2295.591,1996.068,1653.889,1467.610,2135.414,1955.685,1685.398,1196.599,1483.739,1466.939,1516.324,1331.232,1146.855,1110.248,1033.517,1215.308,1327.711,1225.975,1210.969,1011.767,761.557,1168.805,867.404,693.871,890.312,837.986,787.185,705.977,927.054,490.259,653.605,718.209,820.969,701.263,719.703,619.170,680.974,620.739,735.898,527.757,476.622,432.656,647.524,640.752,563.311,566.145,454.304,447.694,644.241,484.066,507.201,492.001,545.183,527.182,463.243,479.923,447.952,711.275,529.271,503.803,494.437,446.233,440.204,335.676,480.649,331.453,430.993,392.514,394.999,331.907,454.980,395.939,312.642,498.893,372.679,332.972,402.150,307.519,390.715,496.006,564.523,584.114,851.321,875.710,962.658,996.294,835.485,749.344,629.052,517.470,439.411,396.160,458.661,608.875,796.895,1368.234,1865.420,2452.851,3203.259,4002.674,4722.790,5183.665,5540.746,5416.074,4996.517,3986.928,2816.405,1917.314,1193.628,748.337,454.991,348.524,288.574,342.304,208.164,241.945,315.102,
