218,108312.667,73802.808,67616.720,61259.884,92307.565,122349.753,155196.603,194041.290,205658.698,189846.607,117006.346,70502.970,30018.441,14257.441,6529.334,6191.429,5377.343,3843.345,4294.896,3262.610,2342.709,2685.817,2771.910,3087.879,2423.648,2961.508,2049.549,1981.089,2189.523,1625.093,2158.725,1803.123,2275.652,1248.275,1932.543,1345.527,1210.608,1152.465,3272.759,796.621,1810.396,1557.802,1136.562,1020.944,866.640,1278.129,1029.270,979.353,1213.149,961.787,1398.292,977.671,1062.028,946.497,886.021,924.036,947.262,816.430,774.589,799.827,876.048,773.355,751.352,778.338,601.976,521.169,660.669,767.614,668.476,616.616,569.460,537.386,567.134,464.811,515.679,464.720,635.399,538.552,486.997,520.951,495.717,590.077,419.564,509.738,426.930,578.135,447.745,493.193,491.364,442.861,430.814,524.532,424.358,433.873,535.134,578.381,485.717,507.264,520.522,612.686,963.236,617.125,691.462,537.626,798.871,598.868,577.199,389.937,375.737,431.729,635.547,758.622,999.354,1248.565,1571.607,1824.632,2025.831,2115.667,2094.888,2043.774,1861.185,1364.345,1147.881,943.386,670.440,397.555,392.750,309.724,328.620,214.400,251.347,301.937,209.396,236.483,207.616,295.550,281.734,267.088,243.763,280.258,300.503,270.624,245.199,335.274,309.245,254.386,290.036,244.572,296.194,294.007,240.699,
220,75881.763,73018.649,77278.303,53852.224,70920.037,82247.256,129410.142,168677.084,226712.433,235158.655,201610.526,122883.351,75057.602,33892.487,15283.709,7476.309,4892.739,4869.220,3393.969,3583.727,4354.655,3803.897,2629.251,2014.332,1932.453,2558.988,2198.221,1552.095,2634.085,1701.119,1597.602,1935.004,2089.265,1410.714,1876.987,834.694,1292.400,1611.213,1391.614,1230.840,1214.387,1295.527,1392.586,1346.889,1360.994,1667.394,1259.256,1093.840,1324.849,945.270,1229.708,1014.412,1153.477,950.907,790.982,866.454,796.832,758.556,761.284,577.210,946.356,675.868,942.698,629.134,572.426,591.726,836.558,565.588,636.654,515.748,460.806,571.400,600.442,527.764,656.633,609.747,432.061,554.474,590.082,607.958,369.599,438.152,468.601,446.560,496.031,483.549,474.195,422.255,489.352,343.607,448.486,576.180,583.463,446.849,875.142,560.596,646.807,505.777,448.745,464.165,534.324,573.621,802.197,611.574,779.930,602.289,601.887,489.237,589.722,473.843,644.463,436.702,603.476,724.519,1022.459,1470.447,1625.574,1979.827,2176.568,2257.658,2484.709,2369.641,2067.205,1688.842,1266.247,992.915,771.700,540.919,363.227,315.283,394.442,260.167,293.253,245.958,251.466,286.855,272.379,338.559,202.490,326.138,263.211,249.607,255.517,329.014,262.793,242.667,284.996,361.559,295.642,312.221,341.478,
222,73461.503,88890.030,73083.695,64569.486,53862.890,55865.909,74032.282,113209.986,194270.614,231685.937,250413.355,200227.941,144815.827,82620.494,36399.529,13698.017,5737.460,4992.620,4817.847,3395.138,4532.043,4171.934,1643.725,2841.037,2257.227,2306.965,1285.545,2367.423,2100.042,1911.410,1625.925,1968.368,2295.572,1948.800,1548.522,1485.411,1338.557,1278.774,1864.785,1200.755,1156.153,1203.399,1200.621,1222.489,1481.880,1191.452,1316.489,891.404,1045.018,1225.045,882.528,714.653,1266.217,859.126,872.453,936.575,761.081,801.850,789.863,699.251,1015.493,716.800,670.970,639.165,430.743,756.307,725.291,619.282,642.094,606.121,556.072,791.584,753.743,765.411,488.501,578.783,635.915,451.843,414.001,594.088,399.282,637.294,486.740,522.407,340.446,562.697,489.910,722.231,517.025,514.770,472.935,509.509,455.436,365.216,491.616,364.432,510.762,451.346,350.702,548.200,537.139,522.587,612.416,602.428,617.381,663.999,710.797,729.105,561.821,464.817,519.009,303.257,398.388,447.773,641.951,817.008,1289.461,1465.797,1884.524,2311.878,2617.647,2815.792,2901.624,2692.010,2324.229,1931.857,1565.788,1105.932,760.891,592.824,361.690,282.293,279.285,422.347,231.419,236.832,218.464,278.898,273.472,220.532,307.161,174.122,275.607,269.958,300.365,300.630,310.124,286.582,287.955,334.730,335.360,
224,55667.770,60438.409,62687.982,77735.975,86530.510,56457.237,57071.820,86962.783,146617.048,194602.070,253048.221,272555.976,222026.108,153778.183,85757.829,38776.483,13895.157,6939.896,4314.317,6768.137,2258.547,2996.629,2553.611,2659.008,2896.413,2475.262,2723.733,1723.366,2517.893,2116.624,1505.111,1723.198,1525.040,2433.472,1290.650,1524.278,1422.156,1198.418,1436.170,1869.994,1261.981,1257.843,1579.932,1647.366,1235.359,1089.423,847.680,1029.041,1102.679,758.754,1073.780,831.452,943.891,2004.180,1010.952,1083.128,861.577,980.563,837.780,759.622,755.698,786.484,819.750,578.285,636.630,814.911,781.150,707.725,542.424,798.858,582.414,729.444,692.381,742.241,508.508,487.388,606.447,403.714,483.016,488.371,402.596,616.962,495.775,544.235,429.193,446.089,477.863,611.906,530.900,478.889,468.910,510.086,495.752,543.567,494.915,509.037,522.929,456.918,329.701,429.268,413.357,462.701,375.368,533.477,624.514,708.813,657.386,771.437,637.455,668.551,671.187,516.121,531.184,439.093,371.137,440.983,639.782,851.669,1344.761,1756.353,2277.251,2750.115,2985.150,3338.389,3224.233,3296.934,2918.576,2204.273,1726.770,1214.455,785.956,483.328,392.534,314.617,279.616,231.121,233.999,271.329,287.087,301.794,332.845,290.286,321.616,289.378,299.624,300.167,318.927,322.514,281.476,268.488,335.070,
226,68395.999,69135.113,76559.868,70203.147,70025.272,55345.050,46912.284,57438.010,90836.884,136851.049,208071.198,284542.979,295045.026,243699.235,161148.478,93739.312,41466.902,17805.896,6605.650,4481.510,2098.347,2814.024,3414.801,2373.201,2796.612,2762.617,1728.669,2037.141,1772.854,3369.113,2106.867,2026.905,1214.984,2033.046,1833.739,1737.917,1782.499,1280.222,988.742,1111.684,1536.759,1211.974,1205.947,1260.066,1152.798,1221.606,764.824,1158.279,977.089,1035.985,1374.030,1105.361,902.275,789.018,983.310,797.885,895.911,793.140,711.909,820.840,613.196,709.731,703.850,850.130,501.719,619.063,569.642,568.488,555.694,715.310,567.378,757.198,664.921,580.923,633.906,559.554,511.748,627.171,458.040,463.151,537.552,606.683,539.251,465.323,553.386,496.349,340.022,631.959,468.161,540.976,530.664,405.461,549.313,448.875,538.797,564.301,400.780,514.208,361.037,354.911,418.130,405.368,340.265,335.968,474.205,491.178,578.878,831.431,632.129,782.815,822.039,703.902,606.688,626.460,357.391,250.235,414.506,438.646,681.042,991.809,1318.340,1922.244,2613.720,3025.622,3493.203,3787.777,3809.900,3867.240,3386.945,2921.433,1879.601,1400.001,788.932,532.783,334.054,329.324,223.598,300.601,267.799,238.275,282.960,334.677,265.041,282.351,227.579,253.323,200.172,282.623,333.657,255.753,276.259,
228,56219.908,70520.718,80400.297,71981.317,80804.919,85778.672,64954.301,50526.619,59415.690,82224.325,151168.974,229853.735,288337.605,302786.350,256700.305,178612.848,100629.457,41116.678,15915.867,5886.437,3833.486,3380.081,3026.950,2615.440,2111.677,3106.550,2482.944,1809.586,2644.665,1909.451,2052.816,1520.973,1204.426,900.767,1716.438,1062.443,1898.200,1293.618,1402.305,892.576,1396.795,1450.293,1154.925,1193.192,913.793,1325.587,1175.634,1235.467,1245.065,1017.228,1110.101,1143.417,825.088,854.329,988.569,830.353,701.145,478.875,692.904,947.127,717.194,824.183,822.711,701.723,681.948,927.346,687.749,643.884,817.310,652.885,475.665,557.181,605.472,482.945,634.707,513.748,491.728,544.404,567.493,470.533,408.356,394.816,558.999,495.174,421.665,478.066,489.997,531.185,400.613,471.714,525.431,491.394,493.011,446.841,493.198,479.722,391.975,458.516,401.838,482.899,386.752,399.017,392.286,347.680,350.620,390.168,391.940,592.270,533.462,719.864,786.451,755.827,653.443,620.536,590.257,400.778,516.213,325.631,380.945,539.525,663.114,1138.210,1679.145,2065.475,2674.287,3573.788,4382.856,4623.834,4470.075,4239.140,3634.665,2797.839,2060.179,1442.906,794.916,570.756,428.479,263.482,382.308,253.928,297.976,302.883,272.324,256.546,240.226,291.759,244.740,286.207,349.246,287.363,265.522,
230,51213.041,67626.448,66067.335,51666.257,59479.217,84001.075,78990.290,59454.431,47867.963,45041.730,87667.462,164756.064,241906.905,310992.463,329148.135,282837.530,201976.950,109993.505,51979.762,16547.292,7560.589,3768.892,2465.251,3283.463,2512.316,1338.394,1855.235,2253.394,1258.496,1908.555,1636.201,1742.438,1821.150,1462.639,1373.530,1770.514,1098.336,1958.651,1776.770,1518.561,1134.688,1690.510,1416.862,1145.130,1696.280,1512.425,1230.327,1012.906,1198.019,1243.009,1228.784,1306.363,747.819,863.027,842.621,694.390,733.410,968.712,693.601,838.855,839.876,615.896,723.994,668.900,783.599,704.008,725.844,785.069,691.676,531.395,501.140,507.354,573.986,664.614,705.943,711.562,536.656,649.048,515.165,633.711,369.095,565.944,455.419,543.651,459.974,659.149,565.828,533.440,478.830,421.438,504.496,511.740,583.842,443.733,514.390,556.662,567.798,420.368,360.749,413.246,398.580,382.722,429.865,423.203,440.519,350.857,397.476,381.124,484.276,586.389,744.893,685.583,750.695,790.288,692.976,537.952,599.084,482.927,460.211,435.625,488.277,440.792,734.933,1169.646,1827.827,2517.053,3447.093,4245.194,4958.201,5327.997,5368.905,4598.908,4114.604,3104.552,2149.414,1727.702,1140.137,621.889,426.441,347.632,212.890,287.540,248.614,275.728,301.848,274.277,292.679,268.729,301.903,317.040,299.783,
232,47562.015,51088.825,62629.709,60230.875,57812.050,66265.804,78240.596,63094.174,60796.794,43144.049,48675.742,91202.511,165349.530,259532.319,313695.411,344856.339,302238.547,206587.478,129257.123,51192.926,18400.968,6284.389,2608.579,3393.506,2194.098,2404.158,2446.275,2144.255,1906.022,2355.067,1758.705,2325.851,1384.140,1420.618,1739.197,1112.363,1513.900,1895.873,1309.690,1784.832,1309.935,1423.202,1268.639,1290.755,1303.686,1174.000,1378.584,925.240,1102.249,920.355,1187.715,738.251,811.029,1005.210,850.775,904.970,1030.057,801.042,1075.725,732.586,752.825,749.670,555.293,527.167,721.324,625.129,724.728,588.102,620.612,532.135,691.437,606.920,700.492,708.047,504.309,548.289,498.268,457.038,579.377,534.983,537.096,540.754,429.059,493.266,558.693,583.192,449.098,432.959,583.188,540.365,892.046,447.177,487.314,469.094,423.383,437.439,502.114,407.316,369.586,385.272,443.736,299.670,429.423,418.560,439.796,282.212,305.512,410.952,552.108,477.805,544.706,640.641,713.092,685.585,768.691,774.914,732.593,685.069,545.311,475.959,384.038,397.612,395.384,558.341,855.316,1233.836,1918.366,2978.450,4004.755,4856.472,5368.409,5735.983,5419.948,5027.411,4233.314,3672.154,2591.966,1805.632,1164.238,697.879,391.175,313.297,251.552,215.687,252.812,321.405,340.738,314.418,252.019,314.683,307.785,
234,62809.766,63032.178,40134.252,54640.311,51337.786,55316.636,80675.658,66260.316,66781.758,52085.129,42857.732,53336.509,93357.168,171464.182,270386.337,344070.660,367999.012,324830.188,224996.996,123440.843,53833.724,22836.159,5422.032,2537.419,2383.797,3722.328,2801.671,2233.641,1360.285,2115.570,1372.063,1292.024,1746.287,1844.270,1708.163,1280.949,1989.739,1926.625,1108.682,1615.681,1369.176,960.544,1217.658,1421.123,1050.184,925.730,904.199,1073.182,1186.578,1036.641,1276.162,887.851,998.868,916.070,1126.350,1076.212,820.580,815.215,755.684,935.357,572.387,776.137,781.412,697.743,869.886,846.432,693.671,763.050,474.898,615.502,705.073,611.280,535.439,663.469,639.216,364.834,521.222,479.247,588.210,440.658,463.498,457.902,525.572,481.854,407.552,449.379,511.883,422.306,467.885,508.138,641.308,561.532,446.457,338.202,459.782,478.320,469.211,428.882,482.324,360.259,388.695,380.975,353.330,423.094,382.756,374.763,313.415,415.370,414.539,347.210,333.375,445.795,624.261,649.200,799.260,740.399,813.242,834.151,776.659,633.713,548.854,577.155,421.157,356.971,439.648,665.706,952.262,1604.375,2565.506,3343.980,4376.623,5372.927,5791.329,6195.801,5989.517,5586.837,4984.060,4157.724,3144.297,1998.755,1266.627,644.424,441.084,302.580,275.624,213.623,246.523,280.587,228.164,276.184,272.975,
236,84220.281,58308.537,53988.547,49076.107,45552.078,54000.932,56809.726,66059.874,64799.558,68942.411,51403.007,37747.355,46778.194,89099.119,165095.116,276346.894,366365.772,391305.599,359994.652,257192.665,143982.699,71500.076,21178.133,6136.901,2707.260,2704.009,2411.330,2578.411,2112.606,1803.010,2004.972,1438.478,2143.965,1495.601,1707.674,2054.198,1323.731,1257.795,1336.266,1806.229,1397.592,1840.880,1801.346,1089.492,704.641,1317.697,826.657,1104.418,850.157,1197.792,1047.911,1284.960,1041.713,974.513,850.403,526.479,926.206,597.332,774.356,656.322,645.518,725.722,639.228,732.753,710.177,808.246,635.238,741.409,720.357,476.831,650.777,542.283,676.543,571.958,571.582,542.481,530.282,588.739,446.261,545.064,463.497,542.776,583.528,421.018,418.131,528.382,516.531,585.726,462.541,466.603,508.335,555.915,389.401,641.968,349.746,507.119,422.707,356.498,379.586,465.628,473.151,368.300,307.439,345.370,345.920,370.234,345.527,437.893,454.060,277.503,394.141,352.818,407.987,537.578,573.855,640.674,712.095,859.691,905.194,775.781,756.195,667.011,555.370,484.893,486.920,324.985,499.152,576.092,1075.537,1533.679,2529.385,3574.046,4437.676,5212.128,6221.950,6800.098,7244.510,7064.337,6257.946,4940.187,3772.217,2538.824,1497.238,870.926,486.941,270.750,240.439,243.912,347.989,276.904,222.443,
